,rank_test_score,mean_test_score,std_test_score,param_max_epochs,param_batch_size,param_lr,param_module__preprocess,param_module__conv_type,param_module__channel_list,param_module__fc_hidden_layers,param_module__activation_fct,param_module__dropout,mean_fit_time
1,1,0.9081632653061225,0.007554920670107071,2000,32,0.0001,LSC,temporal,"[(66, None), (66, 11), (66, 11)]","[1936, 128]",prelu,0.46369952071874415,401.6794282595317
28,2,0.9030612244897959,0.014645198478190428,2000,32,0.0001,LSC,temporal,"[(38, None), (24, 1)]","[1936, 256]",prelu,0.6140147237090715,391.8775825500488
26,3,0.9,0.01186095060255019,2000,32,0.0001,LSC,regular,"[(22, None), (22, 11), (11, 11)]","[1936, 256]",prelu,0.4624214684511159,308.59026551246643
24,4,0.8933673469387755,0.01140882472177124,2000,32,0.0001,LSC,regular,"[(55, None), (22, 11), (22, 11), (11, 11)]","[1936, 128]",prelu,0.2961641021649503,311.2857255935669
19,5,0.8928571428571429,0.016561265718498308,2000,32,0.0001,LSC,regular,"[(33, None), (11, 11), (22, 11), (22, 11), (55, 11)]","[1936, 128]",prelu,0.44714942170261834,532.3061225414276
13,6,0.8903061224489796,0.01284046519352046,2000,32,0.0001,LSC,regular,"[(51, None), (29, 1), (26, 1), (4, 1)]","[1936, 64]",prelu,0.4292496245257051,508.01594281196594
2,7,0.8857142857142857,0.008802396147925213,2000,32,0.0001,LSC,regular,"[(19, None), (57, 1), (16, 1), (38, 1), (18, 1)]","[1936, 64]",prelu,0.3802836747647765,455.0745116869609
0,8,0.8806122448979592,0.012570453653282326,2000,32,0.0001,LSC,regular,"[(22, None), (66, 11), (22, 11), (11, 11)]","[1936, 128]",prelu,0.49862987706154366,522.8175863424937
25,9,0.8790816326530613,0.020835629796323765,2000,32,0.0001,LSC,regular,"[(44, None), (66, 11), (22, 11), (66, 11), (66, 11), (66, 11)]","[1936, 256]",prelu,0.42830222948299407,577.4211672147115
5,10,0.875,0.012025572394291976,2000,32,0.0001,LSC,regular,"[(9, None), (49, 1), (16, 1), (63, 1), (25, 1), (42, 1)]","[1936, 64]",prelu,0.5222189569699944,1088.1272644996643
7,11,0.8668367346938776,0.007562590191257835,2000,32,0.0001,LSC,regular,"[(21, None), (63, 1), (29, 1), (48, 1), (20, 1), (12, 1)]","[1936, 128]",prelu,0.33316779669505603,558.1981779734293
12,12,0.8658163265306122,0.008049028139091757,2000,32,0.0001,LSC,regular,"[(11, None), (64, 1), (16, 1), (34, 1), (11, 1)]","[1936, 256]",prelu,0.28883013367790683,325.53321917851764
8,13,0.8581632653061224,0.01370852366682213,2000,32,0.0001,LSC,temporal,"[(55, None), (44, 11), (55, 11)]","[1936, 64]",prelu,0.4656537081512497,534.1467599868774
11,14,0.8571428571428571,0.0040831131951938,2000,32,0.0001,LSC,temporal,"[(36, None), (50, 1), (36, 1), (38, 1), (25, 1)]","[1936, 128]",prelu,0.40694710460893146,551.7213965257009
18,15,0.8464285714285714,0.008031997793526547,2000,32,0.0001,LSC,temporal,"[(9, None), (44, 1), (63, 1), (56, 1)]","[1936, 64]",prelu,0.37847209829193124,446.0391062100728
23,16,0.8428571428571429,0.028628239043480053,2000,32,0.0001,LSC,regular,"[(15, None), (24, 3), (21, 3), (36, 3), (30, 3), (27, 3)]","[1936, 256]",prelu,0.4116564254808948,597.2498184839884
20,17,0.8392857142857143,0.006147789642558484,2000,32,0.0001,LSC,temporal,"[(36, None), (10, 1), (15, 1), (2, 1)]","[1936, 128]",prelu,0.35875008919600637,791.1151536305746
4,18,0.8326530612244898,0.005162111428196687,2000,32,0.0001,LSC,temporal,"[(9, None), (55, 1), (31, 1), (33, 1), (36, 1)]","[1936, 64]",prelu,0.34898813710120746,541.914473692576
10,19,0.8290816326530612,0.021267775280173155,2000,32,0.0001,LSC,temporal,"[(26, None), (37, 1), (24, 1), (6, 1), (36, 1)]","[1936, 64]",prelu,0.28614360515682763,504.9072368144989
14,20,0.8280612244897959,0.03423963234250422,2000,32,0.0001,LSC,temporal,"[(22, None), (44, 11), (11, 11)]","[1936, 64]",prelu,0.3263844140259188,382.0452330112457
3,21,0.8244897959183674,0.02640806296278183,2000,32,0.0001,LSC,regular,"[(9, None), (3, 3), (27, 3), (36, 3), (33, 3)]","[1936, 128]",prelu,0.3718185085047538,451.834509452184
16,22,0.8239795918367347,0.010981709985542846,2000,32,0.0001,LSC,temporal,"[(44, None), (55, 11), (22, 11), (22, 11), (66, 11), (11, 11)]","[1936, 128]",prelu,0.5041136020670517,1820.8656084537506
9,23,0.8178571428571428,0.012178937273919796,2000,32,0.0001,LSC,temporal,"[(22, None), (66, 11), (22, 11), (11, 11)]","[1936, 64]",prelu,0.45951530272319996,1105.5807036558788
21,24,0.8168367346938775,0.025114898080755576,2000,32,0.0001,LSC,temporal,"[(45, None), (66, 3), (33, 3), (9, 3), (18, 3), (48, 3)]","[1936, 64]",prelu,0.3423434585084801,784.932018438975
29,25,0.8025510204081633,0.0020216306158544746,2000,32,0.0001,LSC,regular,"[(22, None), (11, 11), (55, 11), (55, 11), (44, 11), (11, 11)]","[1936, 256]",prelu,0.42041132257500846,824.1548166275024
15,26,0.8010204081632653,0.012001755360892452,2000,32,0.0001,LSC,temporal,"[(44, None), (66, 11), (22, 11), (66, 11), (66, 11), (66, 11)]","[1936, 128]",prelu,0.6265145302204544,2409.797586043676
6,27,0.3122448979591837,0.3443393800715301,2000,32,0.0001,LSC,temporal,"[(27, None), (25, 1), (18, 1), (44, 1), (42, 1), (2, 1)]","[1936, 64]",prelu,0.3460880012635862,410.6299745241801
17,28,0.07653061224489796,0.0037505821076079587,2000,32,0.0001,LSC,temporal,"[(12, None), (9, 1), (60, 1), (10, 1), (54, 1), (56, 1)]","[1936, 128]",prelu,0.38707775747699275,174.96387116114298
27,29,0.07346938775510205,0.00454428542242682,2000,32,0.0001,LSC,temporal,"[(10, None), (12, 1), (19, 1), (11, 1), (54, 1), (47, 1)]","[1936, 256]",prelu,0.42697050549192433,183.77697451909384
22,30,0.06989795918367347,0.003986073838194403,2000,32,0.0001,LSC,temporal,"[(27, None), (25, 1), (18, 1), (44, 1), (42, 1), (2, 1)]","[1936, 128]",prelu,0.5207674503580694,153.85963082313538
