,rank_test_score,mean_test_score,std_test_score,param_max_epochs,param_batch_size,param_lr,param_module__dropout,param_module__activation_fct,param_module__net_type,param_module__tcn_channels,mean_fit_time
0,1,0.8418367346938775,0.01640265818383155,1000,32,0.0001,0.4,prelu,TCN,"[33, 11]",213.76850819587708
3,2,0.8224489795918367,0.02184494936263059,1000,32,0.0001,0.4,prelu,TCN,"[33, 33, 11, 11, 11]",394.57003712654114
2,3,0.8142857142857143,0.003944076532746568,1000,32,0.0001,0.4,prelu,TCN,"[66, 66, 33, 11, 11]",716.0886801083883
4,4,0.8066326530612244,0.01709235112751358,1000,32,0.0001,0.4,prelu,TCN,"[33, 33, 11, 11, 11, 6]",770.5121955871582
1,5,0.7887755102040817,0.06699638954465414,1000,32,0.0001,0.4,prelu,TCN,"[33, 22, 11]",270.6575536727905
