,rank_test_score,mean_test_score,std_test_score,param_max_epochs,param_batch_size,param_lr,param_module__dropout,param_module__activation_fct,param_module__net_type,mean_fit_time
3,1,"0.8918367346938776","0.008786847165630258",800,32,0.0001,0.4,prelu,xyz,"835.9639698664347"
1,2,"0.888265306122449","0.013173877700294274",500,32,0.0001,0.2,prelu,xyz,"524.0266772905985"
4,2,"0.888265306122449","0.015119592793995771",1000,32,0.0001,0.5,prelu,xyz,"1046.7370507717133"
2,4,"0.8857142857142857","0.01003271951737377",800,32,0.0001,0.3,prelu,xyz,"839.1167328357697"
0,5,"0.8806122448979592","0.012500882632975054",500,32,0.0001,0.1,prelu,xyz,"611.7490753332773"
5,6,"0.8693877551020408","0.007039668328738406",1200,32,0.0001,0.6,prelu,xyz,"1385.0815235773723"
6,7,"0.861734693877551","0.009361695187428201",1400,32,0.0001,0.7,prelu,xyz,"1576.7363725503285"
7,8,"0.8591836734693877","0.002411738327740953",1600,32,0.0001,0.8,prelu,xyz,"1566.9228367010753"
