,rank_test_score,mean_test_score,std_test_score,param_max_epochs,param_batch_size,param_lr,param_module__dropout,param_module__activation_fct,param_module__preprocess,param_module__conv_type,param_module__channel_list,param_module__fc_hidden_layers,param_module__temporal_attention,mean_fit_time
4,1,0.914795918367347,0.0026198066515282156,2000,128,0.0001,0.4,prelu,,regular,"[(22, 1)]","[1024, 128]",,117.70779792467754
0,2,0.9127551020408163,0.01478019943037491,2000,128,0.0001,0.4,prelu,,regular,"[(11, 1)]","[1024, 128]",,128.4946456750234
17,3,0.9107142857142857,0.00620321459768824,2000,128,0.0001,0.4,prelu,,regular,"[(96, 1), (96, 1)]","[1024, 128]",,127.60978674888611
8,4,0.9102040816326531,0.007124610470613993,2000,128,0.0001,0.4,prelu,,regular,"[(44, 1)]","[1024, 128]",,113.66021990776062
19,4,0.9102040816326531,0.0069397724936246016,2000,128,0.0001,0.4,prelu,,regular,"[(96, 1), (96, 1), (96, 1), (96, 1)]","[1024, 128]",,170.73010031382242
10,6,0.9091836734693878,0.0052487573634772775,2000,128,0.0001,0.4,prelu,,regular,"[(44, 1), (44, 1), (44, 1)]","[1024, 128]",,138.72271784146628
11,6,0.9091836734693878,0.010683359355817688,2000,128,0.0001,0.4,prelu,,regular,"[(44, 1), (44, 1), (44, 1), (22, 1)]","[1024, 128]",,186.02765448888144
13,8,0.9076530612244897,0.013542102638379835,2000,128,0.0001,0.4,prelu,,regular,"[(66, 1), (66, 1)]","[1024, 128]",,192.7510465780894
1,8,0.9076530612244897,0.01083524664413839,2000,128,0.0001,0.4,prelu,,regular,"[(11, 1), (11, 1)]","[1024, 128]",,156.4988041718801
9,10,0.9061224489795918,0.003806712090358931,2000,128,0.0001,0.4,prelu,,regular,"[(44, 1), (44, 1)]","[1024, 128]",,113.40365084012349
5,11,0.9056122448979592,0.0014784664655920921,2000,128,0.0001,0.4,prelu,,regular,"[(22, 1), (22, 1)]","[1024, 128]",,128.30163248380026
7,12,0.9045918367346939,0.011405002597044179,2000,128,0.0001,0.4,prelu,,regular,"[(22, 1), (22, 1), (22, 1), (22, 1)]","[1024, 128]",,207.95921643575033
16,13,0.9040816326530612,0.019019925984590704,2000,128,0.0001,0.4,prelu,,regular,"[(96, 1)]","[1024, 128]",,125.2099838256836
2,14,0.9035714285714286,0.008791888341908183,2000,128,0.0001,0.4,prelu,,regular,"[(11, 1), (11, 1), (11, 1)]","[1024, 128]",,221.97324617703757
15,15,0.9015306122448979,0.01914313767300294,2000,128,0.0001,0.4,prelu,,regular,"[(66, 1), (66, 1), (66, 1), (66, 1)]","[1024, 128]",,219.67038774490356
18,16,0.9010204081632653,0.007590682568986077,2000,128,0.0001,0.4,prelu,,regular,"[(96, 1), (96, 1), (96, 1)]","[1024, 128]",,142.85356775919595
3,17,0.9005102040816326,0.009079029678675452,2000,128,0.0001,0.4,prelu,,regular,"[(11, 1), (11, 1), (11, 1), (11, 1)]","[1024, 128]",,274.61201572418213
6,18,0.9,0.013776328980673214,2000,128,0.0001,0.4,prelu,,regular,"[(22, 1), (22, 1), (22, 1)]","[1024, 128]",,164.28023870786032
14,19,0.898469387755102,0.01127156507267668,2000,128,0.0001,0.4,prelu,,regular,"[(66, 1), (66, 1), (66, 1)]","[1024, 128]",,173.1711378892263
12,20,0.8974489795918368,0.011992610682566757,2000,128,0.0001,0.4,prelu,,regular,"[(66, 1)]","[1024, 128]",,142.17417740821838
