,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_lr,param_max_epochs,param_module__activation_fct,param_module__channel_list,param_module__conv_type,param_module__dropout,param_module__fc_hidden_layers,param_module__preprocess,param_module__temporal_attention,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
4,117.70779792467754,15.229794567674038,0.03636391957600912,0.0007640548423889905,128,0.0001,2000,prelu,"[(22, 1)]",regular,0.4,"[1024, 128]",,,"{'batch_size': 128, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(22, 1)], 'module__conv_type': 'regular', 'module__dropout': 0.4, 'module__fc_hidden_layers': [1024, 128], 'module__preprocess': None, 'module__temporal_attention': None}",0.9159021406727829,0.9111791730474732,0.9173047473200613,0.914795918367347,0.0026198066515282156,1,0.9785604900459418,0.9755164498852333,0.9785768936495792,0.9775512778602514,0.0014388562438016133
0,128.4946456750234,15.041211410349874,0.03359572092692057,0.0003747898776458174,128,0.0001,2000,prelu,"[(11, 1)]",regular,0.4,"[1024, 128]",,,"{'batch_size': 128, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(11, 1)], 'module__conv_type': 'regular', 'module__dropout': 0.4, 'module__fc_hidden_layers': [1024, 128], 'module__preprocess': None, 'module__temporal_attention': None}",0.9281345565749235,0.892802450229709,0.9173047473200613,0.9127551020408163,0.01478019943037491,2,0.9816232771822359,0.973221117061974,0.981637337413925,0.9788272438860449,0.0039641344493011885
17,127.60978674888611,7.879600808064937,0.05405235290527344,0.0009902629508082893,128,0.0001,2000,prelu,"[(96, 1), (96, 1)]",regular,0.4,"[1024, 128]",,,"{'batch_size': 128, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(96, 1), (96, 1)], 'module__conv_type': 'regular', 'module__dropout': 0.4, 'module__fc_hidden_layers': [1024, 128], 'module__preprocess': None, 'module__temporal_attention': None}",0.9159021406727829,0.9019908116385911,0.9142419601837672,0.9107142857142857,0.00620321459768824,3,0.9716692189892803,0.9801071155317521,0.9778117827084928,0.9765293724098417,0.0035621114193625206
8,113.66021990776062,26.061493458456972,0.03817033767700195,0.0004925271219566674,128,0.0001,2000,prelu,"[(44, 1)]",regular,0.4,"[1024, 128]",,,"{'batch_size': 128, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(44, 1)], 'module__conv_type': 'regular', 'module__dropout': 0.4, 'module__fc_hidden_layers': [1024, 128], 'module__preprocess': None, 'module__temporal_attention': None}",0.9128440366972477,0.900459418070444,0.9173047473200613,0.9102040816326531,0.007124610470613993,4,0.9770290964777948,0.9778117827084928,0.981637337413925,0.9788260722000709,0.00201338165133536
19,170.73010031382242,27.47470376096144,0.06135209401448568,0.000873242046842844,128,0.0001,2000,prelu,"[(96, 1), (96, 1), (96, 1), (96, 1)]",regular,0.4,"[1024, 128]",,,"{'batch_size': 128, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(96, 1), (96, 1), (96, 1), (96, 1)], 'module__conv_type': 'regular', 'module__dropout': 0.4, 'module__fc_hidden_layers': [1024, 128], 'module__preprocess': None, 'module__temporal_attention': None}",0.918960244648318,0.9019908116385911,0.9096477794793262,0.9102040816326531,0.0069397724936246016,4,0.9709035222052067,0.9793420045906657,0.9747513389441469,0.9749989552466731,0.0034494426233217133
10,138.72271784146628,7.591755810126822,0.042029221852620445,0.0004287355796361436,128,0.0001,2000,prelu,"[(44, 1), (44, 1), (44, 1)]",regular,0.4,"[1024, 128]",,,"{'batch_size': 128, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(44, 1), (44, 1), (44, 1)], 'module__conv_type': 'regular', 'module__dropout': 0.4, 'module__fc_hidden_layers': [1024, 128], 'module__preprocess': None, 'module__temporal_attention': None}",0.9143730886850153,0.9111791730474732,0.9019908116385911,0.9091836734693878,0.0052487573634772775,6,0.9701378254211332,0.9747513389441469,0.9793420045906657,0.9747437229853153,0.003757594270126862
11,186.02765448888144,36.85973825464255,0.0476377805074056,0.0004126843254923335,128,0.0001,2000,prelu,"[(44, 1), (44, 1), (44, 1), (22, 1)]",regular,0.4,"[1024, 128]",,,"{'batch_size': 128, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(44, 1), (44, 1), (44, 1), (22, 1)], 'module__conv_type': 'regular', 'module__dropout': 0.4, 'module__fc_hidden_layers': [1024, 128], 'module__preprocess': None, 'module__temporal_attention': None}",0.9220183486238532,0.8958652373660031,0.9096477794793262,0.9091836734693878,0.010683359355817688,6,0.9686064318529862,0.9625095638867636,0.9808722264728386,0.9706627407375295,0.007636235939431511
13,192.7510465780894,16.58184497535636,0.046372175216674805,0.0005758777909351188,128,0.0001,2000,prelu,"[(66, 1), (66, 1)]",regular,0.4,"[1024, 128]",,,"{'batch_size': 128, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(66, 1), (66, 1)], 'module__conv_type': 'regular', 'module__dropout': 0.4, 'module__fc_hidden_layers': [1024, 128], 'module__preprocess': None, 'module__temporal_attention': None}",0.926605504587156,0.8958652373660031,0.900459418070444,0.9076530612244897,0.013542102638379835,8,0.9647779479326187,0.9663351185921959,0.9724560061208876,0.9678563575485674,0.0033139875635853156
1,156.4988041718801,15.311053898851831,0.036260366439819336,0.0006929495627279013,128,0.0001,2000,prelu,"[(11, 1), (11, 1)]",regular,0.4,"[1024, 128]",,,"{'batch_size': 128, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(11, 1), (11, 1)], 'module__conv_type': 'regular', 'module__dropout': 0.4, 'module__fc_hidden_layers': [1024, 128], 'module__preprocess': None, 'module__temporal_attention': None}",0.9220183486238532,0.9050535987748851,0.8958652373660031,0.9076530612244897,0.01083524664413839,8,0.9647779479326187,0.9785768936495792,0.9701606732976281,0.9711718382932754,0.0056785894205763415
9,113.40365084012349,4.38441164228979,0.040649096171061196,0.0003749115962741679,128,0.0001,2000,prelu,"[(44, 1), (44, 1)]",regular,0.4,"[1024, 128]",,,"{'batch_size': 128, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(44, 1), (44, 1)], 'module__conv_type': 'regular', 'module__dropout': 0.4, 'module__fc_hidden_layers': [1024, 128], 'module__preprocess': None, 'module__temporal_attention': None}",0.9051987767584098,0.9019908116385911,0.9111791730474732,0.9061224489795918,0.003806712090358931,10,0.9724349157733537,0.9778117827084928,0.9801071155317521,0.9767846046711995,0.0032152743090251026
