,rank_test_score,mean_test_score,std_test_score,param_max_epochs,param_batch_size,param_lr,param_module__dropout,param_module__activation_fct,param_module__preprocess,param_module__conv_type,param_module__channel_list,param_module__fc_hidden_layers,param_module__temporal_attention,mean_fit_time
0,1,0.9127551020408163,0.0075006156197121926,2000,128,0.0001,0.4,prelu,,regular,"[(22, 1)]","[1024, 128]",,179.14801224072775
3,1,0.9127551020408163,0.009734552190118926,2000,128,0.0001,0.4,prelu,,regular,"[(22, 22)]","[1024, 128]",,140.8034009138743
1,3,0.9076530612244897,0.0037677871399644947,2000,128,0.0001,0.4,prelu,,regular,"[(22, 2)]","[1024, 128]",,116.9650350411733
2,3,0.9076530612244897,0.0061934401703163675,2000,128,0.0001,0.4,prelu,,regular,"[(22, 11)]","[1024, 128]",,136.33411145210266
5,5,0.9071428571428571,0.006299812457555561,2000,128,0.0001,0.4,prelu,,regular,"[(96, 2), (96, 2)]","[1024, 128]",,139.39459904034933
11,6,0.9066326530612245,0.008775005224465046,2000,128,0.0001,0.4,prelu,,regular,"[(96, 6), (96, 6), (96, 6), (96, 6)]","[1024, 128]",,242.1212899684906
10,7,0.9056122448979592,0.007972175277593804,2000,128,0.0001,0.4,prelu,,regular,"[(96, 3), (96, 3), (96, 3), (96, 3)]","[1024, 128]",,194.91949772834778
8,8,0.9040816326530612,0.009235766066520323,2000,128,0.0001,0.4,prelu,,regular,"[(96, 1), (96, 1), (96, 1), (96, 1)]","[1024, 128]",,162.46928119659424
4,9,0.9035714285714286,0.008129353431124023,2000,128,0.0001,0.4,prelu,,regular,"[(96, 1), (96, 1)]","[1024, 128]",,130.13280510902405
6,10,0.9030612244897959,0.009011795810367894,2000,128,0.0001,0.4,prelu,,regular,"[(96, 3), (96, 3)]","[1024, 128]",,133.90326754252115
7,10,0.9030612244897959,0.0019623225821855856,2000,128,0.0001,0.4,prelu,,regular,"[(96, 6), (96, 6)]","[1024, 128]",,141.7691729068756
9,12,0.9010204081632653,0.007157213737935514,2000,128,0.0001,0.4,prelu,,regular,"[(96, 2), (96, 2), (96, 2), (96, 2)]","[1024, 128]",,184.18812998135886
19,13,0.8959183673469387,0.002564448912760027,2000,128,0.0001,0.4,prelu,,regular,"[(66, 66)]","[1024, 128]",,239.36632903416952
13,14,0.8943877551020408,0.004404306131427392,2000,128,0.0001,0.4,prelu,,regular,"[(66, 2)]","[1024, 128]",,173.04514090220133
12,15,0.8928571428571429,0.0032826892147818296,2000,128,0.0001,0.4,prelu,,regular,"[(66, 1)]","[1024, 128]",,172.7867840131124
18,16,0.8903061224489796,0.007576134389404668,2000,128,0.0001,0.4,prelu,,regular,"[(66, 33)]","[1024, 128]",,278.55147282282513
16,17,0.8841836734693878,0.009339710119184852,2000,128,0.0001,0.4,prelu,,regular,"[(66, 11)]","[1024, 128]",,266.87457458178204
17,18,0.8806122448979592,0.01185049123782876,2000,128,0.0001,0.4,prelu,,regular,"[(66, 22)]","[1024, 128]",,264.14596303304035
14,19,0.8790816326530613,0.009504800861955563,2000,128,0.0001,0.4,prelu,,regular,"[(66, 3)]","[1024, 128]",,184.15653109550476
15,20,0.8785714285714286,0.006434903400124429,2000,128,0.0001,0.4,prelu,,regular,"[(66, 6)]","[1024, 128]",,171.12932936350504
