,rank_test_score,mean_test_score,std_test_score,param_max_epochs,param_batch_size,param_lr,param_module__dropout,param_module__activation_fct,param_module__net_type,param_module__net_shape,mean_fit_time
3,1,0.9051020408163265,0.0032385238952231414,1000,32,0.0001,0.4,prelu,LSC,"(11, 6)",2070.0042123794556
2,2,0.9020408163265307,0.003750841475445317,1000,32,0.0001,0.4,prelu,LSC,"(22, 3)",1817.830793539683
0,3,0.9005102040816326,0.00756192570894766,1000,32,0.0001,0.4,prelu,LSC,"(66, 1)",1750.5400062402089
1,4,0.8989795918367347,0.0033317171730552235,1000,32,0.0001,0.4,prelu,LSC,"(33, 2)",1627.4864428043365
5,5,0.8938775510204081,0.006852435641128637,1000,32,0.0001,0.4,prelu,LSC,"(11, 3)",1144.4323136806488
4,6,0.8918367346938776,0.0026248029825551964,1000,32,0.0001,0.4,prelu,LSC,"(1, 66)",5158.711533387502
