,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_lr,param_max_epochs,param_module__activation_fct,param_module__dropout,param_module__net_shape,param_module__net_type,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
3,2070.0042123794556,166.16429505521796,0.7504932085673014,0.27540525392004894,32,0.0001,1000,prelu,0.4,"(11, 6)",LSC,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.4, 'module__net_shape': (11, 6), 'module__net_type': 'LSC'}",0.900611620795107,0.9065849923430321,0.9081163859111792,0.9051020408163265,0.0032385238952231414,1,0.9739663093415007,0.9716908951798011,0.9824024483550114,0.9760198842921044,0.004607763044735833
2,1817.830793539683,199.31501574927097,0.4118494192759196,0.024166008481221246,32,0.0001,1000,prelu,0.4,"(22, 3)",LSC,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.4, 'module__net_shape': (22, 3), 'module__net_type': 'LSC'}",0.9021406727828746,0.8973966309341501,0.9065849923430321,0.9020408163265307,0.003750841475445317,2,0.9747320061255743,0.964804896710023,0.9793420045906657,0.9729596358087543,0.006065632629183274
0,1750.5400062402089,139.19181932141,0.29986103375752765,0.027932899544614274,32,0.0001,1000,prelu,0.4,"(66, 1)",LSC,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.4, 'module__net_shape': (66, 1), 'module__net_type': 'LSC'}",0.8944954128440367,0.8958652373660031,0.9111791730474732,0.9005102040816326,0.00756192570894766,3,0.9647779479326187,0.9663351185921959,0.9724560061208876,0.9678563575485674,0.0033139875635853156
1,1627.4864428043365,67.34768423630176,0.4508976141611735,0.1265052818575681,32,0.0001,1000,prelu,0.4,"(33, 2)",LSC,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.4, 'module__net_shape': (33, 2), 'module__net_type': 'LSC'}",0.900611620795107,0.9019908116385911,0.8943338437978561,0.8989795918367347,0.0033317171730552235,4,0.9732006125574273,0.9663351185921959,0.9709257842387146,0.9701538384627794,0.002855483269944039
5,1144.4323136806488,102.28562660058867,0.3025209108988444,0.002535878829210862,32,0.0001,1000,prelu,0.4,"(11, 3)",LSC,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.4, 'module__net_shape': (11, 3), 'module__net_type': 'LSC'}",0.8899082568807339,0.888208269525268,0.9035222052067381,0.8938775510204081,0.006852435641128637,5,0.9594180704441041,0.9517980107115531,0.9640397857689365,0.9584186223081979,0.0050474043871524005
4,5158.711533387502,502.81322283007245,5.367956240971883,0.8163007719074565,32,0.0001,1000,prelu,0.4,"(1, 66)",LSC,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.4, 'module__net_shape': (1, 66), 'module__net_type': 'LSC'}",0.8929663608562691,0.888208269525268,0.8943338437978561,0.8918367346938776,0.0026248029825551964,6,0.9777947932618682,0.964804896710023,0.9693955623565417,0.9706650841094776,0.005378544860077145
