,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_lr,param_max_epochs,param_module__activation_fct,param_module__dropout,param_module__net_type,param_module__net_shape,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
3,2869.732238213221,496.77770645900114,2.134120305379232,0.31800186449543905,32,0.0001,1000,prelu,0.4,graph_conv,"(3, 22)","{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.4, 'module__net_shape': (3, 22), 'module__net_type': 'graph_conv'}",0.8914373088685015,0.9019908116385911,0.8958652373660031,0.8964285714285715,0.004327356299171043,1,0.9716692189892803,0.9716908951798011,0.9686304514154552,0.9706635218615123,0.0014376251350245674
1,1303.2505838076274,230.586377441605,0.3654016653696696,0.00296041994874089,32,0.0001,1000,prelu,0.4,xyz,,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.4, 'module__net_type': 'xyz'}",0.8700305810397554,0.8958652373660031,0.900459418070444,0.8887755102040816,0.013396685560309056,2,0.9732006125574273,0.9640397857689365,0.9709257842387146,0.9693887275216927,0.0038946197397340524
4,2940.208582878113,116.09496118532671,1.8317111333211262,0.020447283311916444,32,0.0001,1000,prelu,0.4,graph_conv,"(5, 22)","{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.4, 'module__net_shape': (5, 22), 'module__net_type': 'graph_conv'}",0.8608562691131498,0.8989280245022971,0.9019908116385911,0.8872448979591837,0.01871565422561046,3,0.9716692189892803,0.9709257842387146,0.9724560061208876,0.9716836697829608,0.0006247940307273362
0,6900.452481190364,911.5167911061159,5.40816315015157,0.8379942072466473,32,0.0001,1000,prelu,0.4,regular,,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.4, 'module__net_type': 'regular'}",0.8761467889908257,0.888208269525268,0.8943338437978561,0.8862244897959184,0.007557008466138454,4,0.9732006125574273,0.96327467482785,0.9709257842387146,0.9691336905413306,0.004245763364265912
2,3107.0996244748435,394.02919122479733,1.4857587814331055,0.012741834636582197,32,0.0001,1000,prelu,0.4,graph_conv,"(1, 22)","{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.4, 'module__net_shape': (1, 22), 'module__net_type': 'graph_conv'}",0.7324159021406728,0.7932618683001531,0.8024502297090352,0.7760204081632653,0.03108369590405677,5,0.9387442572741195,0.9227237949502678,0.9311400153022188,0.930869355842202,0.006543125943816163
