,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_lr,param_max_epochs,param_module__activation_fct,param_module__dropout,param_module__net_type,param_module__tcn_channels,param_module__tcn_k,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
8,936.2695215543112,87.91460324144298,0.6433084805806478,0.26591283088708734,32,0.0001,1000,prelu,0.6017506684088859,TCN,"[33, 22]",5,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.6017506684088859, 'module__net_type': 'TCN', 'module__tcn_channels': [33, 22], 'module__tcn_k': 5}",0.845565749235474,0.8514548238897397,0.886676875957121,0.8612244897959184,0.01815064250247532,1,0.9555895865237366,0.9418515684774292,0.9655700076511095,0.9543370542174251,0.009723432764638135
4,349.823367913564,19.957574899158384,0.22663426399230957,0.0007137505535361718,32,0.0001,1000,prelu,0.3056779535618662,TCN,"[22, 11]",2,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.3056779535618662, 'module__net_type': 'TCN', 'module__tcn_channels': [22, 11], 'module__tcn_k': 2}",0.8486238532110092,0.8667687595712098,0.8575803981623277,0.8576530612244898,0.007408747654748533,2,0.9548238897396631,0.9410864575363428,0.936495791889824,0.9441353797219433,0.007786815248384274
7,1004.572415192922,55.95634885412505,0.3135351339975993,0.007972603563372748,32,0.0001,1000,prelu,0.75633128026357,TCN,"[22, 11]",5,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.75633128026357, 'module__net_type': 'TCN', 'module__tcn_channels': [22, 11], 'module__tcn_k': 5}",0.8318042813455657,0.8529862174578867,0.8759571209800919,0.8535714285714285,0.018032360036651655,3,0.9088820826952527,0.9219586840091814,0.9273144605967866,0.9193850757670735,0.007741909037359464
3,1496.2903935909271,230.6764077005483,0.2805772622426351,0.00652666384489524,32,0.0001,1000,prelu,0.7705631975919749,TCN,"[22, 6]",5,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.7705631975919749, 'module__net_type': 'TCN', 'module__tcn_channels': [22, 6], 'module__tcn_k': 5}",0.8516819571865444,0.8545176110260337,0.8529862174578867,0.8530612244897959,0.001159011396138285,4,0.9134762633996937,0.9058913542463657,0.9112471308339709,0.91020491616001,0.0031830143246116167
0,463.67640407880145,41.276600741118756,0.2903440793355306,0.005925146934098883,32,0.0001,1000,prelu,0.38901328374873984,TCN,"[22, 11]",4,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.38901328374873984, 'module__net_type': 'TCN', 'module__tcn_channels': [22, 11], 'module__tcn_k': 4}",0.8516819571865444,0.8621745788667687,0.8315467075038285,0.8484693877551021,0.012705622906369778,5,0.9578866768759571,0.9441469013006886,0.9357306809487376,0.9459214197084611,0.009131766005411528
6,466.2868630886078,25.5310067520203,0.23376091321309408,0.011551170852986088,32,0.0001,1000,prelu,0.4428352241409533,TCN,"[22, 11]",2,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.4428352241409533, 'module__net_type': 'TCN', 'module__tcn_channels': [22, 11], 'module__tcn_k': 2}",0.8425076452599388,0.8545176110260337,0.8483920367534457,0.8484693877551021,0.004903976698853895,5,0.9586523736600306,0.9479724560061209,0.9342004590665647,0.9469417629109055,0.010009021864096149
2,1263.7445901234944,385.9879072329112,0.3906601270039876,0.001699913058897309,32,0.0001,1000,prelu,0.6015875833639324,TCN,"[22, 22, 11]",4,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.6015875833639324, 'module__net_type': 'TCN', 'module__tcn_channels': [22, 22, 11], 'module__tcn_k': 4}",0.8547400611620795,0.8085758039816233,0.8744257274119449,0.8459183673469388,0.02759173921495166,7,0.9678407350689127,0.8944146901300689,0.9326702371843917,0.9316418874611244,0.02998487558981787
1,478.9011405309041,64.20664330695944,0.27691300710042316,0.0008225823898739481,32,0.0001,1000,prelu,0.21998889550796355,TCN,"[22, 6]",5,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.21998889550796355, 'module__net_type': 'TCN', 'module__tcn_channels': [22, 6], 'module__tcn_k': 5}",0.7798165137614679,0.8422664624808576,0.8545176110260337,0.8255102040816327,0.0327193783564633,8,0.9241960183767228,0.9273144605967866,0.9495026778882938,0.9336710522872678,0.011266808106062894
5,350.0662936369578,39.29854085082361,0.3858983516693115,0.015889475119308206,32,0.0001,1000,prelu,0.1140246184325247,TCN,"[33, 22]",3,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.1140246184325247, 'module__net_type': 'TCN', 'module__tcn_channels': [33, 22], 'module__tcn_k': 3}",0.8134556574923547,0.8192955589586524,0.8284839203675345,0.8204081632653061,0.006186234596874784,9,0.9594180704441041,0.9219586840091814,0.9349655700076511,0.9387807748203123,0.01552886020376539
9,478.79222353299457,77.66979526114606,0.30027016003926593,0.0006722020152623932,32,0.0001,1000,prelu,0.30540667999416365,TCN,"[22, 22, 11]",2,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.30540667999416365, 'module__net_type': 'TCN', 'module__tcn_channels': [22, 22, 11], 'module__tcn_k': 2}",0.8012232415902141,0.8039816232771823,0.7978560490045942,0.8010204081632653,0.0025042340533220366,10,0.9264931087289433,0.9051262433052792,0.8898240244835501,0.9071477921725909,0.015038183172979643
