,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_module__tcn_channels,param_module__net_type,param_module__dropout,param_module__activation_fct,param_max_epochs,param_lr,param_batch_size,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,213.76850819587708,28.761187272079745,0.11880143483479817,0.010683479568814654,"[33, 11]",TCN,0.4,prelu,1000,0.0001,32,"{'module__tcn_channels': [33, 11], 'module__net_type': 'TCN', 'module__dropout': 0.4, 'module__activation_fct': 'prelu', 'max_epochs': 1000, 'lr': 0.0001, 'batch_size': 32}",0.8608562691131498,0.8208269525267994,0.8437978560490046,0.8418367346938775,0.01640265818383155,1,0.9601837672281777,0.9250191277735271,0.9219586840091814,0.935720526336962,0.017343186850267044
3,394.57003712654114,32.32318774459401,0.21676222483317056,0.005259175419162037,"[33, 33, 11, 11, 11]",TCN,0.4,prelu,1000,0.0001,32,"{'module__tcn_channels': [33, 33, 11, 11, 11], 'module__net_type': 'TCN', 'module__dropout': 0.4, 'module__activation_fct': 'prelu', 'max_epochs': 1000, 'lr': 0.0001, 'batch_size': 32}",0.8348623853211009,0.8407350689127105,0.7917304747320061,0.8224489795918367,0.02184494936263059,2,0.9464012251148545,0.946442234123948,0.8752869166029075,0.92271012528057,0.033533276620878655
2,716.0886801083883,49.301625313550524,0.36649107933044434,0.06549632762775275,"[66, 66, 33, 11, 11]",TCN,0.4,prelu,1000,0.0001,32,"{'module__tcn_channels': [66, 66, 33, 11, 11], 'module__net_type': 'TCN', 'module__dropout': 0.4, 'module__activation_fct': 'prelu', 'max_epochs': 1000, 'lr': 0.0001, 'batch_size': 32}",0.8195718654434251,0.8131699846860643,0.8101071975497703,0.8142857142857143,0.003944076532746568,3,0.9012251148545176,0.9196633511859219,0.9135424636572304,0.91147697656589,0.007667760100861686
4,770.5121955871582,175.95443413976906,0.22254705429077148,0.018326423190574564,"[33, 33, 11, 11, 11, 6]",TCN,0.4,prelu,1000,0.0001,32,"{'module__tcn_channels': [33, 33, 11, 11, 11, 6], 'module__net_type': 'TCN', 'module__dropout': 0.4, 'module__activation_fct': 'prelu', 'max_epochs': 1000, 'lr': 0.0001, 'batch_size': 32}",0.8287461773700305,0.7871362940275651,0.8039816232771823,0.8066326530612244,0.01709235112751358,4,0.9349157733537519,0.8890589135424637,0.872991583779648,0.8989887568919546,0.02623741165221217
1,270.6575536727905,43.30525366959339,0.1661989688873291,0.025074938467568083,"[33, 22, 11]",TCN,0.4,prelu,1000,0.0001,32,"{'module__tcn_channels': [33, 22, 11], 'module__net_type': 'TCN', 'module__dropout': 0.4, 'module__activation_fct': 'prelu', 'max_epochs': 1000, 'lr': 0.0001, 'batch_size': 32}",0.8149847094801224,0.8545176110260337,0.6967840735068913,0.7887755102040817,0.06699638954465414,5,0.9372128637059725,0.9380260137719969,0.7995409334353482,0.8915932703044391,0.06509167814476711
