,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_lr,param_max_epochs,param_module__activation_fct,param_module__channel_list,param_module__conv_type,param_module__dropout,param_module__fc_hidden_layers,param_module__preprocess,param_module__temporal_attention,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
2,1208.6949428717296,30.159271839260313,0.6086854139963785,0.011202293603863185,128,0.0001,2000,prelu,"[(300, 1), (300, 1), (300, 1), (300, 1), (300, 1), (300, 1)]",temporal,0.4,[128],,,"{'batch_size': 128, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(300, 1), (300, 1), (300, 1), (300, 1), (300, 1), (300, 1)], 'module__conv_type': 'temporal', 'module__dropout': 0.4, 'module__fc_hidden_layers': [128], 'module__preprocess': None, 'module__temporal_attention': None}",0.908256880733945,0.892802450229709,0.9127105666156202,0.9045918367346939,0.008529265710585637,1,0.9785604900459418,0.9793420045906657,0.9724560061208876,0.976786166919165,0.0030784639730562446
7,917.6503816445669,59.07847766712181,0.30922579765319824,0.0037652487534185954,128,0.0001,2000,prelu,"[(400, 1), (300, 1), (200, 1), (200, 1)]",temporal,0.4,[128],,,"{'batch_size': 128, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(400, 1), (300, 1), (200, 1), (200, 1)], 'module__conv_type': 'temporal', 'module__dropout': 0.4, 'module__fc_hidden_layers': [128], 'module__preprocess': None, 'module__temporal_attention': None}",0.8318042813455657,0.8407350689127105,0.8315467075038285,0.8346938775510204,0.004271427745780345,2,0.9318529862174579,0.9586840091813313,0.9387911247130833,0.9431093733706243,0.01137135002021134
1,932.7725547949473,92.61191768078601,0.36104774475097656,0.004096701763811277,128,0.0001,2000,prelu,"[(300, 1), (300, 1), (300, 1), (300, 1)]",temporal,0.4,[128],,,"{'batch_size': 128, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(300, 1), (300, 1), (300, 1), (300, 1)], 'module__conv_type': 'temporal', 'module__dropout': 0.4, 'module__fc_hidden_layers': [128], 'module__preprocess': None, 'module__temporal_attention': None}",0.8287461773700305,0.7917304747320061,0.8208269525267994,0.8137755102040817,0.015914172701862288,3,0.9326186830015314,0.9158377964804897,0.9525631216526397,0.9336732003782203,0.015011581804800864
5,844.3735684553782,72.69415991463214,0.35176801681518555,0.007518805448695052,128,0.0001,2000,prelu,"[(300, 1), (300, 1), (300, 1), (300, 1)]",temporal,0.4,[128],,,"{'batch_size': 128, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(300, 1), (300, 1), (300, 1), (300, 1)], 'module__conv_type': 'temporal', 'module__dropout': 0.4, 'module__fc_hidden_layers': [128], 'module__preprocess': None, 'module__temporal_attention': None}",0.8012232415902141,0.7993874425727412,0.8300153139356815,0.810204081632653,0.01402334308902611,4,0.9150076569678407,0.9234889058913542,0.9227237949502678,0.9204067859364876,0.003830517276043709
6,1033.7193134625752,110.49892757020588,0.5161146322886149,0.0008347601898364835,128,0.0001,2000,prelu,"[(400, 1), (400, 1), (400, 1), (400, 1)]",temporal,0.4,[128],,,"{'batch_size': 128, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(400, 1), (400, 1), (400, 1), (400, 1)], 'module__conv_type': 'temporal', 'module__dropout': 0.4, 'module__fc_hidden_layers': [128], 'module__preprocess': None, 'module__temporal_attention': None}",0.8027522935779816,0.8131699846860643,0.8147013782542113,0.810204081632653,0.0053101556209126325,4,0.9280245022970903,0.9403213465952563,0.936495791889824,0.934947213594057,0.005138201110435784
4,571.8088346322378,18.953470621808982,0.15507332483927408,0.00043630475482404055,128,0.0001,2000,prelu,"[(200, 1), (200, 1), (200, 1), (200, 1)]",temporal,0.4,[128],,,"{'batch_size': 128, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(200, 1), (200, 1), (200, 1), (200, 1)], 'module__conv_type': 'temporal', 'module__dropout': 0.4, 'module__fc_hidden_layers': [128], 'module__preprocess': None, 'module__temporal_attention': None}",0.8042813455657493,0.8162327718223583,0.8055130168453293,0.8086734693877551,0.005366802241770002,6,0.9058192955589587,0.928079571537873,0.9158377964804897,0.9165788878591071,0.00910281582764196
3,411.1517586708069,20.8720333648485,0.07685605684916179,0.0020293095302445652,128,0.0001,2000,prelu,"[(100, 1), (100, 1), (100, 1), (100, 1)]",temporal,0.4,[128],,,"{'batch_size': 128, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(100, 1), (100, 1), (100, 1), (100, 1)], 'module__conv_type': 'temporal', 'module__dropout': 0.4, 'module__fc_hidden_layers': [128], 'module__preprocess': None, 'module__temporal_attention': None}",0.7859327217125383,0.7901990811638591,0.7978560490045942,0.7913265306122449,0.004933092781062611,7,0.8813169984686064,0.8859984697781178,0.872991583779648,0.8801023506754575,0.00537905182415071
0,933.3559658527374,49.117932657485895,0.25668589274088544,0.0013912493441948746,128,0.0001,2000,prelu,"[(300, 1), (300, 1), (300, 1)]",temporal,0.4,[128],,,"{'batch_size': 128, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(300, 1), (300, 1), (300, 1)], 'module__conv_type': 'temporal', 'module__dropout': 0.4, 'module__fc_hidden_layers': [128], 'module__preprocess': None, 'module__temporal_attention': None}",0.6712538226299695,0.6921898928024502,0.7059724349157733,0.689795918367347,0.014276256597584233,8,0.8889739663093414,0.8875286916602907,0.8944146901300689,0.8903057826999005,0.002964742249062922
2,2041.647188981374,94.44016424507466,0.9742977619171143,0.001854376619933242,128,0.0001,2000,prelu,"[(300, 1), (300, 1), (300, 1), (300, 1), (300, 1), (300, 1), (300, 1), (300, 1)]",temporal,0.4,[128],,,"{'batch_size': 128, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(300, 1), (300, 1), (300, 1), (300, 1), (300, 1), (300, 1), (300, 1), (300, 1)], 'module__conv_type': 'temporal', 'module__dropout': 0.4, 'module__fc_hidden_layers': [128], 'module__preprocess': None, 'module__temporal_attention': None}",0.9220183486238532,0.9173047473200613,0.8989280245022971,0.9127551020408163,0.009961166862846458,10,0.9831546707503829,0.981637337413925,0.9793420045906657,0.9813780042516579,0.001567279187669254
0,1304.7337119579315,77.2746329348326,0.43004679679870605,0.003343796123635123,128,0.0001,2000,prelu,"[(300, 1), (300, 1), (300, 1), (300, 1), (300, 1)]",temporal,0.4,[128],,,"{'batch_size': 128, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(300, 1), (300, 1), (300, 1), (300, 1), (300, 1)], 'module__conv_type': 'temporal', 'module__dropout': 0.4, 'module__fc_hidden_layers': [128], 'module__preprocess': None, 'module__temporal_attention': None}",0.9220183486238532,0.9203675344563553,0.8943338437978561,0.9122448979591836,0.012678111769947997,20,0.9823889739663093,0.9869931140015302,0.9824024483550114,0.9839281787742836,0.0021672434642805954
