0,batch_size,lr,max_epochs,module__activation_fct,module__channel_list,module__conv_type,module__dropout,module__fc_hidden_layers,module__preprocess,train_loss_0,train_loss_1,train_loss_2,train_loss_min,train_loss_max,train_loss_mean,train_loss_std,valid_acc_0,valid_acc_1,valid_acc_2,valid_acc_min,valid_acc_max,valid_acc_mean,valid_acc_std,valid_loss_0,valid_loss_1,valid_loss_2,valid_loss_min,valid_loss_max,valid_loss_mean,valid_loss_std
1,64,0.0001,2000,prelu,"[(45, None), (66, 3), (69, 3), (78, 3), (36, 3), (27, 3)]",temporal,0.4014859789586707,"[1936, 128]",LSC,2.7422692931915753,2.7430186599178112,2.7298867262326754,2.7298867262326754,2.7430186599178112,2.7383915597806876,0.006021601829089411,0.07835820895522388,0.07142857142857142,0.0749063670411985,0.07142857142857142,0.07835820895522388,0.07489771580833127,0.0028290192877356043,2.641207680773379,2.639331765640947,2.6400399913502097,2.639331765640947,2.641207680773379,2.6401931459215118,0.0007734583109019864
2,,,,,,,,,,2.703180233178111,2.688359507222684,2.681407565336961,2.681407565336961,2.703180233178111,2.690982435245919,0.009080091034476372,0.07835820895522388,0.07894736842105263,0.08239700374531835,0.07835820895522388,0.08239700374531835,0.07990086037386496,0.0017813526727708797,2.640074882934343,2.637391407686965,2.6392929241451877,2.637391407686965,2.640074882934343,2.6389197382554985,0.0011268571728542084
3,,,,,,,,,,2.67533301066801,2.662613711599887,2.675026160020095,2.662613711599887,2.67533301066801,2.6709909607626643,0.005924934147677284,0.07462686567164178,0.07142857142857142,0.07865168539325842,0.07142857142857142,0.07865168539325842,0.07490237416449054,0.002955252108133127,2.6396491527557373,2.640085580653714,2.637569352482142,2.637569352482142,2.640085580653714,2.639101361963865,0.0010978485373973922
4,,,,,,,,,,2.6716966550933603,2.6708050422320335,2.664234707905696,2.664234707905696,2.6716966550933603,2.6689121350770297,0.003327410112081304,0.06343283582089553,0.07894736842105263,0.0749063670411985,0.06343283582089553,0.07894736842105263,0.07242885709438222,0.0065715914918059535,2.640408156523064,2.6385353687114286,2.638155237119296,2.638155237119296,2.640408156523064,2.639032920784596,0.0009847436245385033
5,,,,,,,,,,2.6919604969392164,2.6546930911790625,2.6535804491776687,2.6535804491776687,2.6919604969392164,2.6667446790986493,0.01783606075870484,0.07835820895522388,0.07518796992481203,0.08239700374531835,0.07518796992481203,0.08239700374531835,0.07864772754178474,0.0029501873291113943,2.6382156343602423,2.639108604058287,2.637608062908444,2.637608062908444,2.639108604058287,2.638310767108991,0.0006162757042680286
6,,,,,,,,,,2.6684536782303296,2.6741181913187133,2.658763995537391,2.658763995537391,2.6741181913187133,2.6671119550288114,0.006339715970762513,0.07462686567164178,0.07894736842105263,0.07865168539325842,0.07462686567164178,0.07894736842105263,0.07740863982865094,0.001970711835637808,2.639031435126689,2.6388086699005355,2.6401492174198564,2.6388086699005355,2.6401492174198564,2.639329774149027,0.0005865273747953722
7,,,,,,,,,,2.6700129876476724,2.6701541336308754,2.6649474437420184,2.6649474437420184,2.6701541336308754,2.668371521673522,0.002421874316571262,0.07462686567164178,0.06766917293233082,0.07865168539325842,0.06766917293233082,0.07865168539325842,0.07364924133241034,0.0045365704373899595,2.6386827532924824,2.638483481299608,2.6383632175931324,2.6383632175931324,2.6386827532924824,2.6385098173950747,0.0001317724256260746
8,,,,,,,,,,2.654730078342563,2.6610551327037535,2.6524446890904354,2.6524446890904354,2.6610551327037535,2.6560766333789174,0.003641871556766842,0.07462686567164178,0.07518796992481203,0.0749063670411985,0.07462686567164178,0.07518796992481203,0.07490706754588411,0.00022907038767089986,2.6383616604022126,2.6387994145988523,2.639284673255035,2.6383616604022126,2.639284673255035,2.6388152494186996,0.00037698473687796714
9,,,,,,,,,,2.666617879977805,2.6726044266414,2.667409302638127,2.666617879977805,2.6726044266414,2.6688772030857777,0.002655275758687466,0.07835820895522388,0.07518796992481203,0.08239700374531835,0.07518796992481203,0.08239700374531835,0.07864772754178474,0.0029501873291113943,2.6380569578996345,2.6379519709967134,2.6377123821987194,2.6377123821987194,2.6380569578996345,2.6379071036983555,0.00014420566161264917
10,,,,,,,,,,2.661314808564379,2.653370636913435,2.6595166866595927,2.653370636913435,2.661314808564379,2.6580673773791355,0.0034012584776549376,0.0708955223880597,0.07894736842105263,0.07865168539325842,0.0708955223880597,0.07894736842105263,0.07616485873412358,0.0037279383273863148,2.6380864114903693,2.6380137196160796,2.638030521878589,2.6380137196160796,2.6380864114903693,2.6380435509950124,3.1073520914375124e-05
11,,,,,,,,,,2.6544903307751193,2.6447669603181048,2.6524734460390533,2.6447669603181048,2.6544903307751193,2.6505769123774257,0.004189957295593879,0.07462686567164178,0.07894736842105263,0.0749063670411985,0.07462686567164178,0.07894736842105263,0.0761602003779643,0.0019741258874424413,2.638310571215046,2.636685382154651,2.6375228653239846,2.636685382154651,2.638310571215046,2.6375062728978937,0.0006635843839631665
12,,,,,,,,,,2.6605075540340475,2.6549975578883425,2.65423637170058,2.65423637170058,2.6605075540340475,2.65658049454099,0.0027941842339186773,0.07835820895522388,0.06766917293233082,0.0749063670411985,0.06766917293233082,0.07835820895522388,0.07364458297625108,0.0044540578535827175,2.638703285758175,2.6370363576071605,2.638620665010888,2.6370363576071605,2.638703285758175,2.6381201027920747,0.0007670655192957964
13,,,,,,,,,,2.653012365275036,2.6540017155474134,2.646571130018968,2.646571130018968,2.6540017155474134,2.6511950702804725,0.0032944722538251273,0.05970149253731343,0.07894736842105263,0.08239700374531835,0.05970149253731343,0.08239700374531835,0.07368195490122814,0.0099854892018112,2.6388109442013414,2.6371435168990516,2.6380044958564675,2.6371435168990516,2.6388109442013414,2.6379863189856203,0.0006808456756518611
14,,,,,,,,,,2.64470691258278,2.6524205693364946,2.6617283454308143,2.64470691258278,2.6617283454308143,2.6529519424500294,0.006959121692157119,0.08208955223880597,0.08646616541353383,0.0749063670411985,0.0749063670411985,0.08646616541353383,0.08115402823117944,0.004765405787471187,2.638213652283398,2.637303900897951,2.6382599600245444,2.637303900897951,2.6382599600245444,2.6379258377352977,0.0004401819123643869
15,,,,,,,,,,2.645820947511118,2.6440921487084497,2.6555645906008207,2.6440921487084497,2.6555645906008207,2.648492562273463,0.005050239256526464,0.08582089552238806,0.11278195488721804,0.0749063670411985,0.0749063670411985,0.11278195488721804,0.0911697391502682,0.015918493119367404,2.6326830422700342,2.635477550047681,2.6369264608018854,2.6326830422700342,2.6369264608018854,2.6350290177065334,0.0017611617671120599
16,,,,,,,,,,2.648281101087155,2.6534317087142316,2.6455423758580134,2.6455423758580134,2.6534317087142316,2.649085061886467,0.003270591990672163,0.11194029850746269,0.07518796992481203,0.07116104868913857,0.07116104868913857,0.11194029850746269,0.0860964390404711,0.018348166625429506,2.6344364543459307,2.63571364180486,2.6379881905259266,2.6344364543459307,2.6379881905259266,2.6360460955589056,0.0014689228699986026
