0,batch_size,lr,max_epochs,module__activation_fct,module__channel_list,module__conv_type,module__dropout,module__fc_hidden_layers,module__preprocess,train_loss_0,train_loss_1,train_loss_min,train_loss_max,train_loss_mean,train_loss_std,valid_acc_0,valid_acc_1,valid_acc_min,valid_acc_max,valid_acc_mean,valid_acc_std,valid_loss_0,valid_loss_1,valid_loss_min,valid_loss_max,valid_loss_mean,valid_loss_std
1,64,0.0001,2000,prelu,"[(66, None), (66, 66), (132, 66), (132, 66)]",temporal,0.5141897873569784,"[1936, 64]",LSC,3.186446339664954,3.0695152576153095,3.0695152576153095,3.186446339664954,3.127980798640132,0.058465541024822265,0.07518796992481203,0.07116104868913857,0.07116104868913857,0.07518796992481203,0.0731745093069753,0.002013460617836728,2.6470113786539637,2.643650991639841,2.643650991639841,2.6470113786539637,2.6453311851469024,0.0016801935070613894
2,,,,,,,,,,2.878224119329315,2.8543991308945875,2.8543991308945875,2.878224119329315,2.866311625111951,0.011912494217363845,0.07518796992481203,0.07865168539325842,0.07518796992481203,0.07865168539325842,0.07691982765903523,0.0017318577342231994,2.641554529505565,2.6400023355019675,2.6400023355019675,2.641554529505565,2.640778432503766,0.0007760970017987034
3,,,,,,,,,,2.7606498230889254,2.7404964190263015,2.7404964190263015,2.7606498230889254,2.7505731210576134,0.010076702031311946,0.08646616541353383,0.08239700374531835,0.08239700374531835,0.08646616541353383,0.0844315845794261,0.0020345808341077423,2.6383275232816996,2.6360188084148737,2.6360188084148737,2.6383275232816996,2.637173165848287,0.001154357433412967
4,,,,,,,,,,2.7190908093960897,2.691163840660682,2.691163840660682,2.7190908093960897,2.7051273250283856,0.013963484367703893,0.06015037593984962,0.10486891385767791,0.06015037593984962,0.10486891385767791,0.08250964489876376,0.022359268958914144,2.6380334492016555,2.6365911951672274,2.6365911951672274,2.6380334492016555,2.6373123221844414,0.0007211270172140516
5,,,,,,,,,,2.6668878730733616,2.6683547790233906,2.6668878730733616,2.6683547790233906,2.6676213260483763,0.0007334529750144814,0.09022556390977443,0.10486891385767791,0.09022556390977443,0.10486891385767791,0.09754723888372617,0.007321674973951739,2.6357878455542085,2.6319422891523954,2.6319422891523954,2.6357878455542085,2.6338650673533017,0.001922778200906583
6,,,,,,,,,,2.678736648000741,2.665621541096614,2.665621541096614,2.678736648000741,2.672179094548677,0.006557553452063436,0.11278195488721804,0.11610486891385768,0.11278195488721804,0.11610486891385768,0.11444341190053786,0.0016614570133198225,2.6348063085312234,2.632428107636698,2.632428107636698,2.6348063085312234,2.633617208083961,0.0011891004472626143
7,,,,,,,,,,2.654659688530005,2.6492124520815334,2.6492124520815334,2.654659688530005,2.6519360703057693,0.0027236182242358353,0.13533834586466165,0.09737827715355805,0.09737827715355805,0.13533834586466165,0.11635831150910986,0.018980034355551796,2.6234900628713738,2.614760369397281,2.614760369397281,2.6234900628713738,2.6191252161343277,0.004364846737046291
8,,,,,,,,,,2.6741148117754348,2.6567104999835673,2.6567104999835673,2.6741148117754348,2.665412655879501,0.008702155895933705,0.11278195488721804,0.17228464419475656,0.11278195488721804,0.17228464419475656,0.1425332995409873,0.02975134465376926,2.624354084631554,2.624310364883937,2.624310364883937,2.624354084631554,2.6243322247577456,2.1859873808427466e-05
9,,,,,,,,,,2.649247961474885,2.651608679844783,2.649247961474885,2.651608679844783,2.650428320659834,0.0011803591849490758,0.10526315789473684,0.14232209737827714,0.10526315789473684,0.14232209737827714,0.12379262763650699,0.018529469741770152,2.6275339933266317,2.6177339125215338,2.6177339125215338,2.6275339933266317,2.6226339529240827,0.0049000404025489885
10,,,,,,,,,,2.6417093274687256,2.6403943171867956,2.6403943171867956,2.6417093274687256,2.6410518223277606,0.0006575051409649646,0.15413533834586465,0.149812734082397,0.149812734082397,0.15413533834586465,0.15197403621413083,0.002161302131733822,2.6115959676584803,2.6024274638529574,2.6024274638529574,2.6115959676584803,2.6070117157557187,0.00458425190276146
11,,,,,,,,,,2.6608831554966175,2.635572308760423,2.635572308760423,2.6608831554966175,2.64822773212852,0.01265542336809733,0.16917293233082706,0.31835205992509363,0.16917293233082706,0.31835205992509363,0.24376249612796036,0.07458956379713329,2.6029710697948483,2.572878442007058,2.572878442007058,2.6029710697948483,2.587924755900953,0.015046313893895213
12,,,,,,,,,,2.618200882940082,2.607575376217182,2.607575376217182,2.618200882940082,2.612888129578632,0.005312753361449873,0.16917293233082706,0.23595505617977527,0.16917293233082706,0.23595505617977527,0.20256399425530117,0.03339106192447411,2.5731911981912483,2.527782029426946,2.527782029426946,2.5731911981912483,2.550486613809097,0.02270458438215117
13,,,,,,,,,,2.64372523007315,2.601260970189021,2.601260970189021,2.64372523007315,2.6224931001310856,0.02123212994206458,0.18045112781954886,0.2846441947565543,0.18045112781954886,0.2846441947565543,0.23254766128805157,0.05209653346850271,2.5798539129414952,2.5144781771670566,2.5144781771670566,2.5798539129414952,2.5471660450542757,0.032687867887219335
