0,batch_size,lr,max_epochs,module__activation_fct,module__channel_list,module__conv_type,module__dropout,module__fc_hidden_layers,module__preprocess,module__temporal_attention,train_loss_0,train_loss_1,train_loss_2,train_loss_min,train_loss_max,train_loss_mean,train_loss_std,valid_acc_0,valid_acc_1,valid_acc_2,valid_acc_min,valid_acc_max,valid_acc_mean,valid_acc_std,valid_loss_0,valid_loss_1,valid_loss_2,valid_loss_min,valid_loss_max,valid_loss_mean,valid_loss_std
1,64,0.0001,2000,prelu,"[(88, None), (88, 22)]",temporal,0.5857537822939148,"[1936, 256]",LSC,general_attention,3.998670679887289,3.892254998133733,3.4844044642181986,3.4844044642181986,3.998670679887289,3.7917767140797403,0.22164438382158924,0.07865168539325842,0.0749063670411985,0.06319702602230483,0.06319702602230483,0.07865168539325842,0.07225169281892058,0.0065826588087120295,2.642360269353631,2.6390623698073825,2.64484397274854,2.6390623698073825,2.64484397274854,2.6420888706365178,0.0023681182529649747
2,,,,,,,,,,,3.426554220243643,3.3403613897470326,3.234865406345081,3.234865406345081,3.426554220243643,3.3339270054452523,0.07838878031736714,0.09363295880149813,0.1198501872659176,0.08550185873605948,0.08550185873605948,0.1198501872659176,0.09966166826782508,0.014656305163553363,2.632634101289042,2.620571842800812,2.6296376605902463,2.620571842800812,2.632634101289042,2.627614534893367,0.005127981938882075
3,,,,,,,,,,,3.138693067405635,3.037330565085778,2.9317561541908277,2.9317561541908277,3.138693067405635,3.035926595560747,0.08448747386659779,0.07116104868913857,0.1647940074906367,0.07806691449814127,0.07116104868913857,0.1647940074906367,0.10467399022597217,0.042604656260168385,2.6219429701901555,2.6125999148865318,2.627128655139398,2.6125999148865318,2.627128655139398,2.620557180072028,0.006011732086647424
4,,,,,,,,,,,2.9379591923475954,2.876891484627357,2.7979901911895397,2.7979901911895397,2.9379591923475954,2.8709469560548304,0.05729650010403854,0.0898876404494382,0.149812734082397,0.17472118959107807,0.0898876404494382,0.17472118959107807,0.13814052137430444,0.03560302587439234,2.6132338172041076,2.6048453005958585,2.6138790114661576,2.6048453005958585,2.6138790114661576,2.610652709755375,0.004114897306816546
5,,,,,,,,,,,2.8511653471956815,2.8004634673778828,2.729763696648482,2.729763696648482,2.8511653471956815,2.793797503740682,0.04978565049158533,0.16104868913857678,0.1797752808988764,0.14869888475836432,0.14869888475836432,0.1797752808988764,0.16317428493193917,0.012775607418777353,2.607356351859561,2.592897718765316,2.6014510760963185,2.592897718765316,2.607356351859561,2.6005683822403984,0.005935620106383589
6,,,,,,,,,,,2.763601360238436,2.705437077008761,2.6668213125827913,2.6668213125827913,2.763601360238436,2.7119532499433294,0.03977804912546711,0.1647940074906367,0.2209737827715356,0.14869888475836432,0.14869888475836432,0.2209737827715356,0.17815555834017885,0.030981860300636706,2.590228431680229,2.578156993630227,2.5651276031834485,2.5651276031834485,2.590228431680229,2.5778376761646347,0.01024985757751696
7,,,,,,,,,,,2.720566373931547,2.672015428543091,2.6910554292344404,2.672015428543091,2.720566373931547,2.694545743903026,0.019973904590615536,0.16853932584269662,0.21348314606741572,0.1524163568773234,0.1524163568773234,0.21348314606741572,0.1781462762624786,0.02583935380736014,2.5741039501147323,2.5603375988506647,2.5936223990855165,2.5603375988506647,2.5936223990855165,2.576021316016971,0.013655931572538946
8,,,,,,,,,,,2.6613847995974678,2.66278882760268,2.6264049409671557,2.6264049409671557,2.66278882760268,2.6501928560557677,0.01683035951006635,0.2247191011235955,0.2397003745318352,0.21933085501858737,0.21933085501858737,0.2397003745318352,0.22791677689133938,0.00861774057924923,2.5772137409738836,2.5459917091698236,2.545605794204655,2.545605794204655,2.5772137409738836,2.5562704147827877,0.014810005999325264
9,,,,,,,,,,,2.6686641330094836,2.6176414269667405,2.6336060452323427,2.6176414269667405,2.6686641330094836,2.6399705350695224,0.021310547953954852,0.2696629213483146,0.20973782771535582,0.23048327137546468,0.20973782771535582,0.2696629213483146,0.23662800681304505,0.02484716673222001,2.554483962862679,2.518779809108834,2.532118766281241,2.518779809108834,2.554483962862679,2.5351275127509183,0.01473060454311927
10,,,,,,,,,,,2.6625504541901925,2.6470765517308164,2.6307448275057106,2.6307448275057106,2.6625504541901925,2.6467906111422397,0.012986166837916521,0.21722846441947566,0.21722846441947566,0.24907063197026022,0.21722846441947566,0.24907063197026022,0.22784252026973717,0.015010541735225334,2.543985607025775,2.5204701843333157,2.523220719014845,2.5204701843333157,2.543985607025775,2.5292255034579783,0.010497201317736547
11,,,,,,,,,,,2.641812821324911,2.638481701337374,2.5852620344400865,2.5852620344400865,2.641812821324911,2.6218521857007904,0.025908859064725866,0.2397003745318352,0.26217228464419473,0.27137546468401486,0.2397003745318352,0.27137546468401486,0.25774937462001496,0.013304120510795886,2.5439586344729648,2.484839710849948,2.496217950126052,2.484839710849948,2.5439586344729648,2.508338765149655,0.025611812381702882
12,,,,,,,,,,,2.580525655718924,2.5861590422116794,2.606705012349035,2.580525655718924,2.606705012349035,2.591129903426546,0.011250830319128621,0.299625468164794,0.26591760299625467,0.26022304832713755,0.26022304832713755,0.299625468164794,0.27525537316272874,0.017388370366946522,2.5292211409365195,2.4692048615730657,2.524839152190765,2.4692048615730657,2.5292211409365195,2.5077550515667837,0.02731773926414576
13,,,,,,,,,,,2.606906672643858,2.584752677037166,2.559892423809838,2.559892423809838,2.606906672643858,2.5838505911636207,0.01920408320382628,0.299625468164794,0.2808988764044944,0.2936802973977695,0.2808988764044944,0.299625468164794,0.2914015473223526,0.007813058989874567,2.4814847756860856,2.4808752206380893,2.466548067043262,2.466548067043262,2.4814847756860856,2.4763026877891456,0.00690204601361808
14,,,,,,,,,,,2.606516204509056,2.5583419799804688,2.520686991641976,2.520686991641976,2.606516204509056,2.5618483920438337,0.03512724146598298,0.2883895131086142,0.2958801498127341,0.2862453531598513,0.2862453531598513,0.2958801498127341,0.29017167202706656,0.0041303264151529035,2.463020623846447,2.46928169486228,2.4294704610973485,2.4294704610973485,2.46928169486228,2.453924259935359,0.017479348972882718
15,,,,,,,,,,,2.510182238634787,2.5579734802246095,2.5000129549948924,2.5000129549948924,2.5579734802246095,2.522722891284763,0.025269304144114976,0.3146067415730337,0.3258426966292135,0.31970260223048325,0.3146067415730337,0.3258426966292135,0.3200506801442435,0.004593657960105351,2.413295177931196,2.465105381797762,2.4350232705750874,2.413295177931196,2.465105381797762,2.437807943434682,0.02124288286109027
16,,,,,,,,,,,2.5436867081969834,2.527328007037823,2.5056396913436565,2.5056396913436565,2.5436867081969834,2.525551468859488,0.015583344501607,0.3295880149812734,0.24719101123595505,0.2936802973977695,0.24719101123595505,0.3295880149812734,0.290153107871666,0.03373077087780327,2.4473624515176264,2.4302614288830133,2.36503940975799,2.36503940975799,2.4473624515176264,2.4142210967195434,0.03547055110064823
17,,,,,,,,,,,2.5432655398265114,2.50083662546598,2.4672743575880753,2.4672743575880753,2.5432655398265114,2.503792174293522,0.031093583434022624,0.31835205992509363,0.30337078651685395,0.29739776951672864,0.29739776951672864,0.31835205992509363,0.3063735386528921,0.008814116023833035,2.383552157477047,2.3726845368017417,2.36343760029534,2.36343760029534,2.383552157477047,2.3732247648580427,0.008220613822120216
18,,,,,,,,,,,2.510864047389173,2.5390455392690807,2.5146555932730377,2.510864047389173,2.5390455392690807,2.5215217266437637,0.012487512742543451,0.41198501872659177,0.3445692883895131,0.3828996282527881,0.3445692883895131,0.41198501872659177,0.37981797845629767,0.027608484182965496,2.361393965138925,2.3760233943382008,2.370076345245191,2.361393965138925,2.3760233943382008,2.3691645682407727,0.006007137568675945
19,,,,,,,,,,,2.4849134907341552,2.507543050325834,2.4593793665972288,2.4593793665972288,2.507543050325834,2.483945302552406,0.019674656267115696,0.3895131086142322,0.4044943820224719,0.34944237918215615,0.34944237918215615,0.4044943820224719,0.38114995660628676,0.0232398721713859,2.3426925162697554,2.3533688859546675,2.3026979208878866,2.3026979208878866,2.3533688859546675,2.33291977437077,0.021810036502611572
20,,,,,,,,,,,2.4638019603989925,2.4425841038043683,2.460570527409313,2.4425841038043683,2.4638019603989925,2.4556521972042247,0.00933423228845386,0.3333333333333333,0.3295880149812734,0.36059479553903345,0.3295880149812734,0.36059479553903345,0.3411720479512134,0.01381880832500152,2.308683205186651,2.332221808951446,2.294519293263942,2.294519293263942,2.332221808951446,2.3118081024673462,0.015549783697376389
21,,,,,,,,,,,2.4842264142830404,2.4731619137984056,2.4735648310483076,2.4731619137984056,2.4842264142830404,2.4769843863765844,0.00512352819360391,0.4307116104868914,0.3707865168539326,0.3159851301115242,0.3159851301115242,0.4307116104868914,0.3724944191507827,0.04685245651703916,2.319936949662055,2.3221793049730164,2.3475842706332863,2.319936949662055,2.3475842706332863,2.3299001750894526,0.01253800796877851
22,,,,,,,,,,,2.4772685085843684,2.453398044292743,2.4639467090540537,2.453398044292743,2.4772685085843684,2.4648710873103883,0.009766972330086974,0.39325842696629215,0.3258426966292135,0.3420074349442379,0.3258426966292135,0.39325842696629215,0.35370285284658115,0.028737980376188178,2.294882194826219,2.2889185639356406,2.2714263763569544,2.2714263763569544,2.294882194826219,2.285075711706271,0.009953876630350265
