,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_batch_size,param_lr,param_max_epochs,param_module__activation_fct,param_module__dropout,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
2,"1030,7376418113708","0,3539280891418457","0,8892857142857142","0,9719367539533662",8,0.0001,600,prelu,0.4,"{'batch_size': 8, 'lr': 0.0001, 'max_epochs': 600, 'module__activation_fct': 'prelu', 'module__dropout': 0.4}",1,"0,8746177370030581","0,9640122511485452","0,9065849923430321","0,9785768936495792","0,886676875957121","0,973221117061974","2,3608895737838553","0,00419085670996051","0,013181856191435793","0,0060149477272207225"
1,"1027,878807067871","0,3602817853291829","0,888265306122449","0,9772962408798893",8,0.0001,600,prelu,0.2,"{'batch_size': 8, 'lr': 0.0001, 'max_epochs': 600, 'module__activation_fct': 'prelu', 'module__dropout': 0.2}",2,"0,8914373088685015","0,9785604900459418","0,8989280245022971","0,9785768936495792","0,8744257274119449","0,9747513389441469","2,5627366306978727","0,004640828783641573","0,010249286839840208","0,0017995298768404664"
4,"618,3437228997549","0,2338717778523763","0,8816326530612245","0,9742346254295694",32,0.0001,600,prelu,0.2,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 600, 'module__activation_fct': 'prelu', 'module__dropout': 0.2}",3,"0,8700305810397554","0,9739663093415007","0,888208269525268","0,9747513389441469","0,886676875957121","0,9739862280030605","6,807731153494137","0,0014476070552994296","0,008233940016206687","0,0003654621096455651"
5,"610,2705696423849","0,23110302289326987","0,8765306122448979","0,9556149730531754",32,0.0001,600,prelu,0.4,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 600, 'module__activation_fct': 'prelu', 'module__dropout': 0.4}",4,"0,8715596330275229","0,9663093415007658","0,889739663093415","0,9487375669472073","0,8683001531393568","0,9517980107115531","2,7679570306744714","0,0018077264609170467","0,0094310082414562","0,007664581587983899"
0,"990,066913763682","0,35958099365234375","0,8704081632653061","0,9696439597830507",8,0.0001,600,prelu,0,"{'batch_size': 8, 'lr': 0.0001, 'max_epochs': 600, 'module__activation_fct': 'prelu', 'module__dropout': 0}",5,"0,8715596330275229","0,9739663093415007","0,8805513016845329","0,9671002295332823","0,8591117917304747","0,9678653404743688","17,876359701838258","0,007525138598912575","0,008788266890465581","0,0030722823185289055"
6,"548,9582454363505","0,2063593069712321","0,8683673469387755","0,9357125198161391",128,0.0001,600,prelu,0,"{'batch_size': 128, 'lr': 0.0001, 'max_epochs': 600, 'module__activation_fct': 'prelu', 'module__dropout': 0}",6,"0,8425076452599388","0,9287901990811639","0,888208269525268","0,9303749043611323","0,8744257274119449","0,9479724560061209","2,591674029339885","0,0016342230947221327","0,019144652438553962","0,008693190792910277"
3,"571,5555803775787","0,2311100165049235","0,8658163265306122","0,9655608294443123",32,0.0001,600,prelu,0,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 600, 'module__activation_fct': 'prelu', 'module__dropout': 0}",7,"0,8532110091743119","0,9640122511485452","0,8790199081163859","0,9594491201224178","0,8652373660030628","0,973221117061974","2,4214522423473124","0,0028907497096810008","0,01054572278498183","0,005728033169094915"
7,"606,8016503651937","0,208661158879598","0,8627551020408163","0,9318875509536938",128,0.0001,600,prelu,0.2,"{'batch_size': 128, 'lr': 0.0001, 'max_epochs': 600, 'module__activation_fct': 'prelu', 'module__dropout': 0.2}",8,"0,8516819571865444","0,9310872894333844","0,8621745788667687","0,9196633511859219","0,8744257274119449","0,944912012241775","0,6874219513470934","0,0028038466144443153","0,009295348191876732","0,010323243519811792"
8,"607,7551810741425","0,21169273058573404","0,8510204081632653","0,9025518539391887",128,0.0001,600,prelu,0.4,"{'batch_size': 128, 'lr': 0.0001, 'max_epochs': 600, 'module__activation_fct': 'prelu', 'module__dropout': 0.4}",9,"0,8348623853211009","0,9058192955589587","0,8591117917304747","0,8837031369548585","0,8591117917304747","0,918133129303749","3,0472359658964847","0,010187136865651335","0,011434192603926311","0,014244606566232219"
