,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_lr,param_max_epochs,param_module__activation_fct,param_module__dropout,param_module__net_type,param_module__tcn_channels,param_module__tcn_k,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
4,718.4752860069275,106.27828156748619,0.6319011052449545,0.13584308112065954,32,0.0001,1000,prelu,0.4,TCN,[33],4,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.4, 'module__net_type': 'TCN', 'module__tcn_channels': [33], 'module__tcn_k': 4}",0.8975535168195719,0.9065849923430321,0.8989280245022971,0.9010204081632653,0.00397308590069203,1,0.9716692189892803,0.9747513389441469,0.9831675592960979,0.9765293724098417,0.004859630281320769
2,452.0647185643514,34.60217137448868,0.13783796628316244,0.006070865316011241,32,0.0001,1000,prelu,0.4,TCN,[11],2,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.4, 'module__net_type': 'TCN', 'module__tcn_channels': [11], 'module__tcn_k': 2}",0.8853211009174312,0.900459418070444,0.9035222052067381,0.8964285714285715,0.007958961339696336,2,0.9716692189892803,0.973221117061974,0.9739862280030605,0.9729588546847716,0.000963922147048731
8,2120.768048365911,301.43007058983477,0.8862994511922201,0.22961987024266545,32,0.0001,1000,prelu,0.4,TCN,[66],2,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.4, 'module__net_type': 'TCN', 'module__tcn_channels': [66], 'module__tcn_k': 2}",0.8792048929663608,0.9019908116385911,0.8973966309341501,0.8928571428571429,0.009841271855532328,3,0.9372128637059725,0.9755164498852333,0.9716908951798011,0.961473402923669,0.01722573732434709
3,2032.523673137029,286.93829140646477,0.6178433100382487,0.0018821662479640738,32,0.0001,1000,prelu,0.4,TCN,[66],2,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.4, 'module__net_type': 'TCN', 'module__tcn_channels': [66], 'module__tcn_k': 2}",0.882262996941896,0.8943338437978561,0.892802450229709,0.889795918367347,0.0053671746400654665,4,0.9578866768759571,0.9770466717674062,0.9586840091813313,0.9645391192748982,0.008850163339958982
5,691.5983649889628,42.7232415272287,0.363815704981486,0.018005589380056298,32,0.0001,1000,prelu,0.4,TCN,[33],5,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.4, 'module__net_type': 'TCN', 'module__tcn_channels': [33], 'module__tcn_k': 5}",0.8761467889908257,0.891271056661562,0.9019908116385911,0.889795918367347,0.010603510471107152,4,0.9732006125574273,0.9747513389441469,0.9762815608263198,0.974744504109298,0.001257801148863489
0,484.9793736934662,31.856848003163186,0.13360238075256348,0.008164033985552616,32,0.0001,1000,prelu,0.4,TCN,[6],4,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.4, 'module__net_type': 'TCN', 'module__tcn_channels': [6], 'module__tcn_k': 4}",0.8730886850152905,0.891271056661562,0.9019908116385911,0.8887755102040816,0.011931851567401603,6,0.9509954058192955,0.9663351185921959,0.9693955623565417,0.9622420289226777,0.00805011293630211
1,947.714915672938,114.02416896876744,0.4744097391764323,0.007306352680156551,32,0.0001,1000,prelu,0.4,TCN,[44],5,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.4, 'module__net_type': 'TCN', 'module__tcn_channels': [44], 'module__tcn_k': 5}",0.8715596330275229,0.8943338437978561,0.891271056661562,0.8857142857142857,0.010094213857481065,7,0.9686064318529862,0.9716908951798011,0.9808722264728386,0.9737231845018752,0.00520961158696514
6,931.2648966312408,72.46120212703832,0.45861053466796875,0.0384161574948346,32,0.0001,1000,prelu,0.4,TCN,[44],3,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.4, 'module__net_type': 'TCN', 'module__tcn_channels': [44], 'module__tcn_k': 3}",0.8914373088685015,0.8652373660030628,0.8958652373660031,0.8841836734693878,0.013513421120215448,8,0.9724349157733537,0.9663351185921959,0.9831675592960979,0.9739791978872159,0.006958034705671327
7,1692.4276935259502,237.94806966815784,1.1568562189737956,0.271088125438967,32,0.0001,1000,prelu,0.4,TCN,[66],5,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.4, 'module__net_type': 'TCN', 'module__tcn_channels': [66], 'module__tcn_k': 5}",0.8807339449541285,0.886676875957121,0.8790199081163859,0.8821428571428571,0.0032803318924716175,9,0.9647779479326187,0.973221117061974,0.96327467482785,0.967091246607481,0.004377704219377302
9,466.5720895926158,89.6142766961048,0.12209423383076985,0.00162462917445764,32,0.0001,1000,prelu,0.4,TCN,[6],4,"{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.4, 'module__net_type': 'TCN', 'module__tcn_channels': [6], 'module__tcn_k': 4}",0.8776758409785933,0.8713629402756509,0.889739663093415,0.8795918367346939,0.007621916078254199,10,0.9532924961715161,0.9579188982402448,0.9663351185921959,0.959182171001319,0.005399036546999758
