0,batch_size,lr,max_epochs,module__activation_fct,module__channel_list,module__conv_type,module__dropout,module__fc_hidden_layers,module__preprocess,train_loss_0,train_loss_1,train_loss_min,train_loss_max,train_loss_mean,train_loss_std,valid_acc_0,valid_acc_1,valid_acc_min,valid_acc_max,valid_acc_mean,valid_acc_std,valid_loss_0,valid_loss_1,valid_loss_min,valid_loss_max,valid_loss_mean,valid_loss_std
1,512,0.0001,2000,prelu,"[(66, 66), (66, 66), (66, 66)]",regular,0.45909661810004854,"[1936, 256]",,4.819299902300385,4.368175873143201,4.368175873143201,4.819299902300385,4.593737887721793,0.2255620145785917,0.1044776119402985,0.09433962264150944,0.09433962264150944,0.1044776119402985,0.09940861729090397,0.0050689946493945315,2.6482880115509033,2.6390583515167236,2.6390583515167236,2.6482880115509033,2.6436731815338135,0.004614830017089844
2,,,,,,,,,,3.232961022555254,3.1082246427115003,3.1082246427115003,3.232961022555254,3.1705928326333774,0.06236818992187687,0.07835820895522388,0.12075471698113208,0.07835820895522388,0.12075471698113208,0.09955646296817798,0.021198254012954096,2.6558589935302734,2.647312879562378,2.647312879562378,2.6558589935302734,2.6515859365463257,0.004273056983947754
3,,,,,,,,,,3.0067451307998687,2.9880770515800665,2.9880770515800665,3.0067451307998687,2.9974110911899676,0.00933403960990109,0.08208955223880597,0.1320754716981132,0.08208955223880597,0.1320754716981132,0.10708251196845958,0.024992959729653617,2.6575191020965576,2.6503398418426514,2.6503398418426514,2.6575191020965576,2.6539294719696045,0.003589630126953125
4,,,,,,,,,,3.0520034405996803,3.00911235672041,3.00911235672041,3.0520034405996803,3.030557898660045,0.021445541939635104,0.06716417910447761,0.09056603773584905,0.06716417910447761,0.09056603773584905,0.07886510842016334,0.01170092931568572,2.652384042739868,2.6506261825561523,2.6506261825561523,2.652384042739868,2.6515051126480103,0.0008789300918579102
5,,,,,,,,,,2.9992795243198933,3.0181856105057614,2.9992795243198933,3.0181856105057614,3.008732567412827,0.009453043092934044,0.1044776119402985,0.07924528301886792,0.07924528301886792,0.1044776119402985,0.09186144747958322,0.012616164460715291,2.64587140083313,2.6470718383789062,2.64587140083313,2.6470718383789062,2.646471619606018,0.0006002187728881836
6,,,,,,,,,,2.932474139108823,2.9460675716400146,2.932474139108823,2.9460675716400146,2.939270855374419,0.006796716265595748,0.1455223880597015,0.09056603773584905,0.09056603773584905,0.1455223880597015,0.11804421289777528,0.027478175161926226,2.6404709815979004,2.6414480209350586,2.6404709815979004,2.6414480209350586,2.6409595012664795,0.0004885196685791016
7,,,,,,,,,,2.9881499966674685,2.937927644678361,2.937927644678361,2.9881499966674685,2.9630388206729146,0.025111175994553703,0.07835820895522388,0.12830188679245283,0.07835820895522388,0.12830188679245283,0.10333004787383836,0.024971838918614472,2.6414217948913574,2.6349704265594482,2.6349704265594482,2.6414217948913574,2.638196110725403,0.00322568416595459
8,,,,,,,,,,2.9035060410325007,2.8557409878655724,2.8557409878655724,2.9035060410325007,2.8796235144490367,0.023882526583464125,0.08208955223880597,0.1471698113207547,0.08208955223880597,0.1471698113207547,0.11462968177978033,0.03254012954097437,2.641932249069214,2.6288070678710938,2.6288070678710938,2.641932249069214,2.635369658470154,0.006562590599060059
9,,,,,,,,,,2.869001179072209,2.80519364983015,2.80519364983015,2.869001179072209,2.8370974144511796,0.031903764621029396,0.08582089552238806,0.09811320754716982,0.08582089552238806,0.09811320754716982,0.09196705153477894,0.00614615601239088,2.637430191040039,2.6257925033569336,2.6257925033569336,2.637430191040039,2.6316113471984863,0.005818843841552734
10,,,,,,,,,,2.871167787467354,2.7885116853549246,2.7885116853549246,2.871167787467354,2.829839736411139,0.04132805105621462,0.10074626865671642,0.09433962264150944,0.09433962264150944,0.10074626865671642,0.09754294564911292,0.0032033230076034883,2.6297621726989746,2.6240060329437256,2.6240060329437256,2.6297621726989746,2.62688410282135,0.0028780698776245117
