,acc,cm,config_id,config_params,f1_score
0,0.8888888888888888,"[[55  0  0  2  1  0  0  0  0  0  0  0  0  0]
 [ 9 40  0  4  4  0  0  1  0  3  0  0  0  0]
 [ 0  2 49  1  0  0  1  0  1  0  0  0  0  1]
 [ 7  0  0 44  0  0  0  0  0  0  0  0  0  0]
 [ 0  1  0  0 52  0  2  0  0  0  0  0  0  0]
 [ 0  1  0  1  0 56  0  0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0 62  0  0  0  0  0  0  0]
 [ 0  0  0  0  2  0  0 51  0  0  0  0  0  1]
 [ 0  1  8  0  0  1  0  0 56  1  0  0  1  0]
 [ 0  1  1  4  0  0  0  0  0 55  0  0  0  0]
 [ 0  0  0  1  0  1  0  1  0  0 65  0  1  0]
 [ 0  0  0  0  0  0  0  0  0  0  0 57  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0  0 58  0]
 [ 0  3  8  8  6  0  1  0  0  0  0  0  0 44]]",104623,"{'max_epochs': 2000, 'batch_size': 8, 'lr': 0.0001, 'module__dropout': 0.4, 'module__activation_fct': 'prelu', 'module__preprocess': None, 'module__conv_type': 'regular', 'module__channel_list': [(66, 3), (66, 3), (66, 3)], 'module__fc_hidden_layers': [1400, 70], 'module__temporal_attention': None}",0.8878939966616597
0,0.9032258064516129,"[[54  0  1  2  1  0  0  0  0  0  0  0  0  0]
 [ 1 44  0  3  4  0  0  0  0  4  0  0  0  5]
 [ 0  5 46  0  0  0  0  0  1  0  0  0  0  3]
 [ 6  0  0 45  0  0  0  0  0  0  0  0  0  0]
 [ 0  0  0  0 47  0  6  0  0  0  0  0  0  2]
 [ 0  1  0  1  0 54  0  0  0  0  0  0  0  2]
 [ 0  0  0  0  0  0 62  0  0  0  0  0  0  0]
 [ 0  0  0  0  1  0  0 52  0  0  0  0  0  1]
 [ 0  3  4  0  0  1  0  0 56  1  0  0  2  1]
 [ 0  1  0  4  1  0  0  0  0 55  0  0  0  0]
 [ 0  0  0  1  0  0  0  1  0  0 66  0  1  0]
 [ 0  0  0  0  0  0  0  0  0  0  0 57  0  0]
 [ 0  0  0  0  0  0  1  0  0  0  0  0 57  0]
 [ 0  0  1  0  5  0  2  0  1  0  0  0  0 61]]",110844,"{'max_epochs': 2000, 'batch_size': 32, 'lr': 0.0001, 'module__dropout': 0.4, 'module__activation_fct': 'prelu', 'module__preprocess': None, 'module__conv_type': 'regular', 'module__channel_list': [(66, 3), (66, 3), (66, 3)], 'module__fc_hidden_layers': [1400, 70], 'module__temporal_attention': None}",0.9030763881871602
0,0.8793309438470729,"[[54  2  0  2  0  0  0  0  0  0  0  0  0  0]
 [ 5 47  0  3  2  0  0  0  0  1  0  0  0  3]
 [ 0  2 48  1  0  0  0  0  1  0  0  0  0  3]
 [ 8  0  0 43  0  0  0  0  0  0  0  0  0  0]
 [ 0  5  0  1 46  0  3  0  0  0  0  0  0  0]
 [ 0  1  0  1  0 55  0  1  0  0  0  0  0  0]
 [ 0  0  0  0  0  0 62  0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0 53  0  0  0  0  0  1]
 [ 0  1  5  3  0  1  0  0 54  1  0  0  1  2]
 [ 0  1  1  5  2  0  0  0  0 51  0  1  0  0]
 [ 0  1  0  1  0  1  0  1  0  0 63  1  1  0]
 [ 0  0  0  0  0  0  1  0  0  0  0 56  0  0]
 [ 0  0  0  0  0  0  1  0  0  0  0  0 57  0]
 [ 0  4  4  9  5  0  1  0  0  0  0  0  0 47]]",111858,"{'max_epochs': 2000, 'batch_size': 64, 'lr': 0.0001, 'module__dropout': 0.4, 'module__activation_fct': 'prelu', 'module__preprocess': None, 'module__conv_type': 'regular', 'module__channel_list': [(66, 3), (66, 3), (66, 3)], 'module__fc_hidden_layers': [1400, 70], 'module__temporal_attention': None}",0.880272562259573
0,0.9115890083632019,"[[54  2  0  1  1  0  0  0  0  0  0  0  0  0]
 [ 2 47  0  2  4  0  0  0  0  3  0  0  0  3]
 [ 0  2 48  1  0  0  0  0  1  0  0  0  0  3]
 [ 6  0  0 45  0  0  0  0  0  0  0  0  0  0]
 [ 0  0  0  0 54  0  1  0  0  0  0  0  0  0]
 [ 0  3  0  1  0 52  0  2  0  0  0  0  0  0]
 [ 0  0  0  0  0  0 62  0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0 53  0  0  0  0  0  1]
 [ 0  1  4  0  0  1  0  0 60  1  0  0  1  0]
 [ 0  1  0  4  0  0  0  0  0 56  0  0  0  0]
 [ 0  1  0  1  0  0  0  1  0  0 65  0  1  0]
 [ 0  0  0  0  0  0  0  0  0  0  0 57  0  0]
 [ 0  0  0  0  0  0  1  1  0  0  0  0 56  0]
 [ 0  3  4  2  6  0  1  0  0  0  0  0  0 54]]",112356,"{'max_epochs': 2000, 'batch_size': 128, 'lr': 0.0001, 'module__dropout': 0.4, 'module__activation_fct': 'prelu', 'module__preprocess': None, 'module__conv_type': 'regular', 'module__channel_list': [(66, 3), (66, 3), (66, 3)], 'module__fc_hidden_layers': [1400, 70], 'module__temporal_attention': None}",0.911553388701121
0,0.8888888888888888,"[[53  2  0  2  1  0  0  0  0  0  0  0  0  0]
 [ 7 43  0  2  4  0  0  0  0  0  0  0  0  5]
 [ 0  4 44  1  0  0  0  0  1  0  0  0  0  5]
 [ 6  0  0 44  0  0  0  0  0  0  0  0  0  1]
 [ 0  0  0  0 53  0  2  0  0  0  0  0  0  0]
 [ 0  1  0  2  0 55  0  0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0 62  0  0  0  0  0  0  0]
 [ 0  0  0  0  3  0  0 50  0  0  0  0  0  1]
 [ 0  0  5  4  0  1  0  0 53  1  0  0  1  3]
 [ 0  1  0  4  3  0  0  0  0 53  0  0  0  0]
 [ 0  0  0  1  0  0  0  2  0  0 64  0  1  1]
 [ 0  0  0  0  0  0  0  0  0  0  0 57  0  0]
 [ 0  0  0  0  0  0  2  0  0  0  0  0 56  0]
 [ 0  0  2  3  7  0  1  0  0  0  0  0  0 57]]",112920,"{'max_epochs': 2000, 'batch_size': 256, 'lr': 0.0001, 'module__dropout': 0.4, 'module__activation_fct': 'prelu', 'module__preprocess': None, 'module__conv_type': 'regular', 'module__channel_list': [(66, 3), (66, 3), (66, 3)], 'module__fc_hidden_layers': [1400, 70], 'module__temporal_attention': None}",0.889775440023762
0,0.8446833930704899,"[[55  1  0  2  0  0  0  0  0  0  0  0  0  0]
 [17 33  1  3  2  0  0  0  0  3  0  0  0  2]
 [ 0  1 52  0  0  1  0  0  1  0  0  0  0  0]
 [ 7  0  0 44  0  0  0  0  0  0  0  0  0  0]
 [ 0  4  0  2 45  0  4  0  0  0  0  0  0  0]
 [ 0  1  0  1  0 56  0  0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0 62  0  0  0  0  0  0  0]
 [ 0  0  0  0  1  0  1 51  0  0  0  0  0  1]
 [ 0  0 11  4  0  1  0  0 50  1  0  0  1  0]
 [ 1  1  0  6  0  0  0  0  0 53  0  0  0  0]
 [ 0  0  0  3  0  1  0  1  0  0 63  0  1  0]
 [ 0  0  0  0  0  0  1  0  0  0  1 55  0  0]
 [ 0  0  0  0  0  0  2  0  0  0  0  0 56  0]
 [ 0  3 10 16  6  1  1  0  0  1  0  0  0 32]]",113256,"{'max_epochs': 2000, 'batch_size': 512, 'lr': 0.0001, 'module__dropout': 0.4, 'module__activation_fct': 'prelu', 'module__preprocess': None, 'module__conv_type': 'regular', 'module__channel_list': [(66, 3), (66, 3), (66, 3)], 'module__fc_hidden_layers': [1400, 70], 'module__temporal_attention': None}",0.8418668047415641
0,0.8948626045400239,"[[52  3  0  2  1  0  0  0  0  0  0  0  0  0]
 [ 4 47  0  3  3  0  0  0  0  1  0  0  0  3]
 [ 0  2 48  2  0  0  0  0  1  0  0  0  0  2]
 [ 6  0  0 45  0  0  0  0  0  0  0  0  0  0]
 [ 0  3  0  0 51  0  1  0  0  0  0  0  0  0]
 [ 0  1  0  2  0 54  0  0  0  0  1  0  0  0]
 [ 0  0  0  0  0  0 62  0  0  0  0  0  0  0]
 [ 0  0  0  0  1  0  0 52  0  0  0  0  0  1]
 [ 0  1  8  1  0  1  0  0 55  1  0  0  1  0]
 [ 0  1  0  6  1  0  0  0  0 52  0  1  0  0]
 [ 0  0  0  1  0  0  0  1  0  0 66  0  1  0]
 [ 0  0  0  0  0  0  0  0  0  0  0 57  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0  0 58  0]
 [ 0  5  2  8  4  0  1  0  0  0  0  0  0 50]]",113712,"{'max_epochs': 2000, 'batch_size': 64, 'lr': 0.0001, 'module__dropout': 0.4, 'module__activation_fct': 'prelu', 'module__preprocess': None, 'module__conv_type': 'regular', 'module__channel_list': [(66, 3), (66, 3), (66, 3)], 'module__fc_hidden_layers': [1400, 70], 'module__temporal_attention': None}",0.8960584714207916
0,0.8566308243727598,"[[55  1  0  2  0  0  0  0  0  0  0  0  0  0]
 [10 30  2  5  2  0  0  0  0  7  0  1  0  4]
 [ 0  1 49  1  0  0  0  0  1  0  0  0  0  3]
 [ 6  0  0 44  0  0  0  0  0  0  0  0  0  1]
 [ 0  0  0  0 45  0  6  0  0  2  0  0  0  2]
 [ 0  0  2 12  0 41  0  2  0  0  0  0  0  1]
 [ 0  0  0  0  1  0 61  0  0  0  0  0  0  0]
 [ 1  0  0  1  0  0  0 51  0  0  0  0  0  1]
 [ 0  0  8  3  0  1  0  0 53  1  0  0  1  1]
 [ 0  0  0  6  0  0  0  0  0 55  0  0  0  0]
 [ 0  0  0  2  0  0  0  3  0  0 62  1  1  0]
 [ 0  0  0  0  0  0  0  0  0  0  0 57  0  0]
 [ 0  0  0  0  0  0  2  0  0  0  0  0 56  0]
 [ 0  0  3  4  3  0  0  0  0  2  0  0  0 58]]",114300,"{'max_epochs': 2000, 'batch_size': 64, 'lr': 0.0001, 'module__dropout': 0.4, 'module__activation_fct': 'relu', 'module__preprocess': None, 'module__conv_type': 'regular', 'module__channel_list': [(66, 3), (66, 3), (66, 3)], 'module__fc_hidden_layers': [1400, 70], 'module__temporal_attention': None}",0.856008880630663
0,0.9032258064516129,"[[55  2  0  1  0  0  0  0  0  0  0  0  0  0]
 [ 3 48  0  0  2  1  0  0  0  1  0  0  0  6]
 [ 0  4 42  0  0  0  1  0  1  0  0  0  0  7]
 [ 7  0  0 42  0  1  0  0  0  0  0  0  0  1]
 [ 0  3  0  0 51  0  1  0  0  0  0  0  0  0]
 [ 0  1  0  0  0 55  0  1  0  0  0  0  0  1]
 [ 0  0  0  0  0  0 62  0  0  0  0  0  0  0]
 [ 0  0  0  0  2  0  0 51  0  0  0  0  0  1]
 [ 0  1  8  0  0  1  0  0 56  1  0  0  1  0]
 [ 0  1  0  5  0  0  0  0  0 55  0  0  0  0]
 [ 0  1  0  1  0  0  0  0  0  0 66  0  1  0]
 [ 0  0  0  1  0  0  0  0  0  0  0 56  0  0]
 [ 0  0  0  0  0  0  2  0  0  0  0  0 56  0]
 [ 0  1  1  1  5  0  1  0  0  0  0  0  0 61]]",114728,"{'max_epochs': 2000, 'batch_size': 64, 'lr': 0.0001, 'module__dropout': 0.4, 'module__activation_fct': 'prelu', 'module__preprocess': None, 'module__conv_type': 'regular', 'module__channel_list': [(66, 3)], 'module__fc_hidden_layers': [1400, 70], 'module__temporal_attention': None}",0.9035319465846258
0,0.8984468339307049,"[[53  2  0  2  1  0  0  0  0  0  0  0  0  0]
 [ 4 43  0  2  3  0  0  0  0  3  0  0  0  6]
 [ 0  1 48  1  0  0  0  0  1  0  0  0  0  4]
 [ 7  0  0 43  0  0  0  0  0  0  0  0  0  1]
 [ 0  1  0  0 53  0  1  0  0  0  0  0  0  0]
 [ 0  1  2  2  0 52  0  0  0  0  0  0  0  1]
 [ 0  0  0  0  0  0 62  0  0  0  0  0  0  0]
 [ 0  0  0  0  2  0  0 51  0  0  0  0  0  1]
 [ 0  0  5  0  0  1  0  0 58  1  0  0  0  3]
 [ 0  1  0  3  1  0  0  0  0 55  0  0  0  1]
 [ 0  0  0  3  0  1  0  3  0  0 61  0  1  0]
 [ 0  0  0  0  0  0  0  0  0  0  0 57  0  0]
 [ 0  0  0  0  0  0  2  0  0  0  0  0 56  0]
 [ 0  0  4  1  4  0  1  0  0  0  0  0  0 60]]",115204,"{'max_epochs': 2000, 'batch_size': 64, 'lr': 0.0001, 'module__dropout': 0.4, 'module__activation_fct': 'prelu', 'module__preprocess': None, 'module__conv_type': 'regular', 'module__channel_list': [(66, 3), (66, 3)], 'module__fc_hidden_layers': [1400, 70], 'module__temporal_attention': None}",0.8988447485066128
