,acc,cm,config_id,config_params,f1_score
0,0.8912783751493429,"[[54  0  0  3  0  1  0  0  0  0  0  0  0  0]
 [11 39  1  4  1  1  0  0  1  1  0  0  0  2]
 [ 0  1 50  1  0  0  0  0  2  0  0  0  0  1]
 [ 6  0  0 44  0  1  0  0  0  0  0  0  0  0]
 [ 0  3  2  2 48  0  0  0  0  0  0  0  0  0]
 [ 0  2  0  0  0 55  0  0  0  0  0  0  0  1]
 [ 0  0  0  0  1  0 61  0  0  0  0  0  0  0]
 [ 0  1  1  4  3  2  1 40  0  0  1  0  0  1]
 [ 0  0  4  0  0  1  0  0 61  1  0  0  0  1]
 [ 0  1  0  3  0  1  0  0  0 55  1  0  0  0]
 [ 0  0  0  1  0  0  0  0  0  0 67  0  1  0]
 [ 0  0  0  0  0  0  0  0  0  0  1 56  0  0]
 [ 0  0  0  0  0  0  0  0  1  0  0  0 57  0]
 [ 0  0  3  4  3  0  0  0  1  0  0  0  0 59]]",213156,"{'max_epochs': 2000, 'batch_size': 8, 'lr': 0.0001, 'module__dropout': 0.4, 'module__activation_fct': 'prelu', 'module__preprocess': None, 'module__conv_type': 'regular', 'module__channel_list': [(96, 1)], 'module__fc_hidden_layers': [2048, 128], 'module__temporal_attention': None}",0.8913401961223377
0,0.9020310633213859,"[[54  1  1  2  0  0  0  0  0  0  0  0  0  0]
 [ 5 46  0  1  3  0  0  0  1  3  0  1  0  1]
 [ 0  1 53  0  0  0  0  0  1  0  0  0  0  0]
 [ 6  0  0 45  0  0  0  0  0  0  0  0  0  0]
 [ 0  0  0  0 54  0  1  0  0  0  0  0  0  0]
 [ 0  2  0  0  2 53  0  0  0  0  0  0  0  1]
 [ 0  0  0  0  0  0 62  0  0  0  0  0  0  0]
 [ 0  0  0  1  2  0  0 50  0  0  0  0  0  1]
 [ 0  0  5  0  0  1  0  0 61  1  0  0  0  0]
 [ 1  1  1  4  2  0  0  0  0 51  0  0  0  1]
 [ 0  0  0  2  0  0  0  0  0  0 66  1  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0 57  0  0]
 [ 0  0  0  0  0  0  0  0  1  0  0  0 57  0]
 [ 0  4  9  2  6  3  0  0  0  0  0  0  0 46]]",214320,"{'max_epochs': 2000, 'batch_size': 16, 'lr': 0.0001, 'module__dropout': 0.4, 'module__activation_fct': 'prelu', 'module__preprocess': None, 'module__conv_type': 'regular', 'module__channel_list': [(96, 1)], 'module__fc_hidden_layers': [2048, 128], 'module__temporal_attention': None}",0.9012370172922509
0,0.9008363201911589,"[[52  4  0  1  1  0  0  0  0  0  0  0  0  0]
 [ 1 55  0  1  2  0  0  0  1  0  0  0  0  1]
 [ 0  3 47  0  0  0  1  0  2  0  0  0  0  2]
 [ 7  0  0 43  0  1  0  0  0  0  0  0  0  0]
 [ 0  1  0  0 53  0  1  0  0  0  0  0  0  0]
 [ 0  2  0  0  2 53  0  0  0  0  0  0  0  1]
 [ 0  0  0  0  0  0 62  0  0  0  0  0  0  0]
 [ 0  0  0  1  3  0  1 49  0  0  0  0  0  0]
 [ 0  0  7  0  0  1  0  0 59  1  0  0  0  0]
 [ 0  5  0  3  2  0  0  0  0 51  0  0  0  0]
 [ 0  1  0  1  0  0  0  0  0  0 67  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0 57  0  0]
 [ 0  0  0  0  0  0  1  0  0  0  0  0 57  0]
 [ 0  3  1  1 10  2  2  0  2  0  0  0  0 49]]",215131,"{'max_epochs': 2000, 'batch_size': 32, 'lr': 0.0001, 'module__dropout': 0.4, 'module__activation_fct': 'prelu', 'module__preprocess': None, 'module__conv_type': 'regular', 'module__channel_list': [(96, 1)], 'module__fc_hidden_layers': [2048, 128], 'module__temporal_attention': None}",0.9013743421237148
0,0.9223416965352449,"[[54  2  0  2  0  0  0  0  0  0  0  0  0  0]
 [ 2 51  0  1  2  0  0  0  0  0  0  0  0  5]
 [ 0  1 49  0  0  0  1  0  1  0  0  0  0  3]
 [ 6  0  0 45  0  0  0  0  0  0  0  0  0  0]
 [ 0  0  0  0 55  0  0  0  0  0  0  0  0  0]
 [ 0  4  0  0  0 52  0  1  0  0  0  0  0  1]
 [ 0  0  0  0  0  0 62  0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  1 52  0  0  0  0  0  1]
 [ 0  0  6  0  0  0  0  0 60  1  0  0  1  0]
 [ 0  2  0  3  1  0  0  0  0 55  0  0  0  0]
 [ 0  0  0  1  0  0  0  0  0  0 68  0  0  0]
 [ 0  1  0  0  0  0  0  0  0  0  0 56  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0  0 58  0]
 [ 0  2  5  1  4  0  1  0  2  0  0  0  0 55]]",215632,"{'max_epochs': 2000, 'batch_size': 64, 'lr': 0.0001, 'module__dropout': 0.4, 'module__activation_fct': 'prelu', 'module__preprocess': None, 'module__conv_type': 'regular', 'module__channel_list': [(96, 1)], 'module__fc_hidden_layers': [2048, 128], 'module__temporal_attention': None}",0.9224880758610591
0,0.9199522102747909,"[[51  5  0  2  0  0  0  0  0  0  0  0  0  0]
 [ 3 51  0  2  2  0  0  0  0  0  0  1  0  2]
 [ 0  1 51  1  0  0  0  0  1  0  0  0  0  1]
 [ 6  0  0 44  0  1  0  0  0  0  0  0  0  0]
 [ 0  0  0  0 54  0  0  0  0  1  0  0  0  0]
 [ 0  4  0  0  0 53  0  0  0  0  0  0  0  1]
 [ 0  0  0  0  0  0 62  0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  1 52  0  0  0  0  0  1]
 [ 0  0  6  0  0  1  0  0 59  1  0  0  1  0]
 [ 1  2  0  2  0  1  0  0  0 55  0  0  0  0]
 [ 0  0  0  1  0  0  0  0  0  0 68  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0 57  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0  0 58  0]
 [ 0  4  2  3  5  0  0  0  1  0  0  0  0 55]]",220014,"{'max_epochs': 2000, 'batch_size': 128, 'lr': 0.0001, 'module__dropout': 0.4, 'module__activation_fct': 'prelu', 'module__preprocess': None, 'module__conv_type': 'regular', 'module__channel_list': [(96, 1)], 'module__fc_hidden_layers': [2048, 128], 'module__temporal_attention': None}",0.9203074802312249
0,0.9044205495818399,"[[52  2  0  2  1  1  0  0  0  0  0  0  0  0]
 [ 2 51  0  2  3  2  0  0  0  0  0  0  0  1]
 [ 0  0 54  0  0  0  0  0  1  0  0  0  0  0]
 [ 7  0  0 43  0  1  0  0  0  0  0  0  0  0]
 [ 0  0  1  0 54  0  0  0  0  0  0  0  0  0]
 [ 0  2  0  0  0 56  0  0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0 62  0  0  0  0  0  0  0]
 [ 0  0  0  1  3  1  0 49  0  0  0  0  0  0]
 [ 0  0  7  0  0  1  0  0 58  1  0  0  1  0]
 [ 1  1  1  1  1  0  0  0  0 56  0  0  0  0]
 [ 0  0  0  1  0  0  0  0  0  0 68  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0 57  0  0]
 [ 0  0  0  0  0  0  0  0  1  0  0  0 57  0]
 [ 0  4 11  2  7  4  1  0  1  0  0  0  0 40]]",220319,"{'max_epochs': 2000, 'batch_size': 256, 'lr': 0.0001, 'module__dropout': 0.4, 'module__activation_fct': 'prelu', 'module__preprocess': None, 'module__conv_type': 'regular', 'module__channel_list': [(96, 1)], 'module__fc_hidden_layers': [2048, 128], 'module__temporal_attention': None}",0.902607582137316
0,0.9080047789725209,"[[51  4  0  3  0  0  0  0  0  0  0  0  0  0]
 [ 4 49  0  2  2  0  0  0  0  0  0  0  0  4]
 [ 0  0 48  2  0  0  1  0  1  0  0  0  0  3]
 [ 5  0  0 46  0  0  0  0  0  0  0  0  0  0]
 [ 0  0  0  0 53  0  2  0  0  0  0  0  0  0]
 [ 0  0  0  2  2 53  0  0  0  0  0  0  0  1]
 [ 0  0  0  0  0  0 62  0  0  0  0  0  0  0]
 [ 0  0  0  1  0  1  0 51  0  0  0  0  0  1]
 [ 0  0  6  1  0  1  0  0 58  1  0  0  1  0]
 [ 0  3  0  3  2  0  0  0  0 53  0  0  0  0]
 [ 0  0  0  1  0  0  0  1  0  0 67  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0 57  0  0]
 [ 0  0  0  0  0  0  1  1  0  0  0  0 56  0]
 [ 0  1  2  4  3  0  2  0  2  0  0  0  0 56]]",220637,"{'max_epochs': 2000, 'batch_size': 512, 'lr': 0.0001, 'module__dropout': 0.4, 'module__activation_fct': 'prelu', 'module__preprocess': None, 'module__conv_type': 'regular', 'module__channel_list': [(96, 1)], 'module__fc_hidden_layers': [2048, 128], 'module__temporal_attention': None}",0.9087017785165749
0,0.8924731182795699,"[[54  2  0  2  0  0  0  0  0  0  0  0  0  0]
 [ 5 46  1  2  2  2  0  0  1  0  0  1  0  1]
 [ 0  0 53  0  0  1  0  0  1  0  0  0  0  0]
 [ 5  0  0 45  0  1  0  0  0  0  0  0  0  0]
 [ 0  0  1  0 53  0  1  0  0  0  0  0  0  0]
 [ 0  1  0  0  0 57  0  0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0 61  0  0  0  0  1  0  0]
 [ 0  0  0  0  0  1  2 50  0  0  0  0  0  1]
 [ 0  0  9  0  0  1  0  0 56  1  0  0  1  0]
 [ 0  2  1  2  1  4  0  0  0 50  0  0  0  1]
 [ 0  0  0  1  0  0  0  0  0  0 68  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0 57  0  0]
 [ 0  0  0  0  0  1  1  0  0  0  0  0 56  0]
 [ 0  3 11  7  3  2  1  0  1  0  1  0  0 41]]",221035,"{'max_epochs': 2000, 'batch_size': 128, 'lr': 1e-05, 'module__dropout': 0.4, 'module__activation_fct': 'prelu', 'module__preprocess': None, 'module__conv_type': 'regular', 'module__channel_list': [(96, 1)], 'module__fc_hidden_layers': [2048, 128], 'module__temporal_attention': None}",0.8906530995959895
0,0.9091995221027479,"[[52  4  0  2  0  0  0  0  0  0  0  0  0  0]
 [ 2 50  0  2  4  0  0  0  1  0  0  1  0  1]
 [ 0  0 46  3  0  0  1  0  4  0  0  0  0  1]
 [ 6  0  0 45  0  0  0  0  0  0  0  0  0  0]
 [ 0  0  0  0 54  0  1  0  0  0  0  0  0  0]
 [ 0  2  0  0  0 55  0  0  0  0  0  0  0  1]
 [ 0  0  0  0  0  0 62  0  0  0  0  0  0  0]
 [ 0  0  0  0  2  0  0 51  0  0  0  0  0  1]
 [ 0  0  4  0  0  1  0  0 61  1  0  0  1  0]
 [ 0  2  0  1  1  2  0  0  0 55  0  0  0  0]
 [ 0  0  0  1  0  0  0  0  0  0 68  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0 57  0  0]
 [ 0  0  0  0  0  0  0  0  1  0  0  0 57  0]
 [ 0  4  4  6  5  0  1  0  2  0  0  0  0 48]]",222242,"{'max_epochs': 2000, 'batch_size': 128, 'lr': 5e-05, 'module__dropout': 0.4, 'module__activation_fct': 'prelu', 'module__preprocess': None, 'module__conv_type': 'regular', 'module__channel_list': [(96, 1)], 'module__fc_hidden_layers': [2048, 128], 'module__temporal_attention': None}",0.9086700501813493
0,0.9127837514934289,"[[46  7  0  2  2  0  0  0  0  1  0  0  0  0]
 [ 0 54  0  2  3  0  0  0  0  0  0  0  0  2]
 [ 0  1 47  1  1  0  0  0  1  0  0  0  0  4]
 [ 5  0  0 46  0  0  0  0  0  0  0  0  0  0]
 [ 0  0  0  0 54  0  1  0  0  0  0  0  0  0]
 [ 0  4  0  0  0 53  0  0  0  0  0  0  0  1]
 [ 0  0  0  0  0  0 62  0  0  0  0  0  0  0]
 [ 0  1  0  0  1  0  1 50  0  0  0  0  0  1]
 [ 0  0  6  0  0  1  0  0 60  1  0  0  0  0]
 [ 0  3  0  3  1  1  0  0  0 53  0  0  0  0]
 [ 0  0  0  1  0  0  0  0  0  0 68  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0 57  0  0]
 [ 0  0  0  0  0  0  1  0  0  0  0  0 57  0]
 [ 0  2  2  1  6  0  2  0  0  0  0  0  0 57]]",222812,"{'max_epochs': 2000, 'batch_size': 128, 'lr': 0.0001, 'module__dropout': 0.4, 'module__activation_fct': 'prelu', 'module__preprocess': None, 'module__conv_type': 'regular', 'module__channel_list': [(96, 1)], 'module__fc_hidden_layers': [2048, 128], 'module__temporal_attention': None}",0.9135704611124298
